Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Data_Set
"['Hu W.', ' Yan G.', ' Ding Q.', ' Cai J.', ' Zhang Z.', ' Zhao Z.', ' Lei H.', ' Zhu Y.Z.']","Hu, Wei (57222512026); Yan, Guanyu (57189268019); Ding, Qian (57219434862); Cai, Jianghong (57201676174); Zhang, Zhongyi (59799237600); Zhao, Ziming (59446412600); Lei, Heping (56274896900); Zhu, Yi Zhun (55588736500)",57222512026; 57189268019; 57219434862; 57201676174; 59799237600; 59446412600; 56274896900; 55588736500,Update of Indoles: Promising molecules for ameliorating metabolic diseases,2022,Biomedicine and Pharmacotherapy,150.0,,112957,,,,28,10.1016/j.biopha.2022.112957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129143610&doi=10.1016%2fj.biopha.2022.112957&partnerID=40&md5=71905e3d60dbaf4c78c4dc6e6ab56d2d,"Obesity and metabolic disorders have gradually become public health-threatening problems. The metabolic disorder is a cluster of complex metabolic abnormalities which are featured by dysfunction in glucose and lipid metabolism, and results from the increasing prevalence of visceral obesity. With the core driving factor of insulin resistance, metabolic disorder mainly includes type 2 diabetes mellitus (T2DM), micro and macro-vascular diseases, non-alcoholic fatty liver disease (NAFLD), dyslipidemia, and the dysfunction of gut microbiota. Strategies and therapeutic attention are demanded to decrease the high risk of metabolic diseases, from lifestyle changes to drug treatment, especially herbal medicines. Indole is a parent substance of numerous bioactive compounds, and itself can be produced by tryptophan catabolism to stimulate glucagon-like peptide-1 (GLP-1) secretion and inhibit the development of obesity. In addition, in heterocycles drug discovery, the indole scaffold is primarily found in natural compounds with versatile biological activity and plays a prominent role in drug molecules synthesis. In recent decades, plenty of natural or synthesized indole deriviatives have been investigated and elucidated to exert effects on regulating glucose hemeostasis and lipd metabolism. The aim of this review is to trace and emphasize the compounds containing indole scaffold that possess immense potency on preventing metabolic disorders, particularly T2DM, obesity and NAFLD, along with the underlying molecular mechanisms, therefore facilitate a better comprehension of their druggability and application in metabolic diseases. © 2022",Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85129143610,"Hu, Wei","Yan, Guanyu","Ding, Qian","Cai, Jianghong","Zhang, Zhongyi","Zhao, Ziming","Lei, Heping","Zhu, Yi Zhun",,,,,,,,,,SCOPUS
"['Coelho M.S.', ' Fernandes S.S.', ' Salas-Mellado M.D.L.M.']","Coelho, Michele Silveira (56504735100); Fernandes, Sibele Santos (57193062892); Salas-Mellado, Myriam de las Mercedes (26421462400)",56504735100; 57193062892; 26421462400,"Association Between Diet, Health, and the Presence of Bioactive Compounds in Foods",2018,Bioactive Compounds: Health Benefits and Potential Applications,,,,159,183,24.0,13,10.1016/B978-0-12-814774-0.00009-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064053733&doi=10.1016%2fB978-0-12-814774-0.00009-8&partnerID=40&md5=a32a3b596d914d2ef7b261fcefc815f0,"The study of associations between diet, health, and the presence of bioactive compounds in foods has received a substantial amount of attention. They are mostly concentrated in cereals, pulses, fruits, vegetables, peptides, omega-3, and fiber. Epidemiological studies indicate that dietary intake of fruits and cereals prevents chronic diseases such as cancer and diabetes. Both animal and plant proteins are rich sources of bioactive peptides having specific physiological and biochemical functions. Marine oils, as a rich source of long-chain omega-3, have attracted considerable attention in recent years. Omega-3 have been known to lower plasma triacylglycerol along with a variety of other drugs such as fibrates, statins, niacin, and metformin. It has been proclaimed that daily dietary fiber intake helps in the prevention of many nutritional disorders like gut-related problems. In this chapter the effects and targets of bioactive compounds are assessed, allied as perspectives to promote health. © 2019 Elsevier Inc. All rights reserved.",Book chapter,Final,,Scopus,2-s2.0-85064053733,"Coelho, Michele Silveira","Fernandes, Sibele Santos","Salas-Mellado, Myriam de las Mercedes",,,,,,,,,,,,,,,SCOPUS
"['Wang J.', ' Li F.', ' Li W.', ' Li Y.', ' Zhang J.', ' Qin S.']","Wang, Jing (57202342684); Li, Fengcheng (59374678200); Li, Wenjun (57188834071); Li, Yueming (59561567600); Zhang, Jian (59561002000); Qin, Song (55499358600)",57202342684; 59374678200; 57188834071; 59561567600; 59561002000; 55499358600,Progress in Preparation Technology and Functional Research On Marine Bioactive Peptides,2025,Marine Biotechnology,27.0,1,42,,,,0,10.1007/s10126-024-10401-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218033252&doi=10.1007%2fs10126-024-10401-0&partnerID=40&md5=5997adb64de2e170e9e7e6dcdd02d7c4,"Marine bioactive peptides are a class of peptides derived from marine organisms that can optimize the body’s metabolic environment and benefit the body’s health. These peptides have attracted increasing amounts of attention due to their wide range of health-promoting effects. Additionally, they have the potential to ameliorate diseases such as hypertension, diabetes, influenza viruses, and inflammation and can be used as functional foods or nutritional supplements for the purpose of treating or alleviating diseases. This paper reviews the recent research progress on marine bioactive peptides, focusing on their production technologies and functions in biomaterials and drug development. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.",Review,Final,,Scopus,2-s2.0-85218033252,"Wang, Jing","Li, Fengcheng","Li, Wenjun","Li, Yueming","Zhang, Jian","Qin, Song",,,,,,,,,,,,SCOPUS
"['Gatta C.', ' De Felice E.', "" D'Angelo L."", ' Maruccio L.', ' Leggieri A.', ' Lucini C.', ' Palladino A.', ' Paolucci M.', ' Scocco P.', ' Varricchio E.', ' De Girolamo P.']","Gatta, Claudia (55312361400); De Felice, Elena (55194997900); D'Angelo, Livia (57191219580); Maruccio, Lucianna (6506128539); Leggieri, Adele (57206470338); Lucini, Carla (55883890800); Palladino, Antonio (57193013893); Paolucci, Marina (7006774127); Scocco, Paola (7003788262); Varricchio, Ettore (57261513100); De Girolamo, Paolo (7003349346)",55312361400; 55194997900; 57191219580; 6506128539; 57206470338; 55883890800; 57193013893; 7006774127; 7003788262; 57261513100; 7003349346,The case study of nesfatin-1 in the pancreas of tursiops truncatus,2018,Frontiers in Physiology,9.0,,1845,,,,10,10.3389/fphys.2018.01845,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061743665&doi=10.3389%2ffphys.2018.01845&partnerID=40&md5=905e5911f2be2d8c11363f2519ddc334,"Nesfatin-1 (Nesf-1) is an anorexigenic peptide involved in the regulation of homeostatic feeding. Nesf-1 is expressed in the central nervous system and other organs, including pancreas, where it promotes the release of insulin from β-cells. This raises the possibility that Nesf-1 dysfunction could be involved in metabolic disorders, particularly in type 2 diabetes mellitus (T2D). Recently, it has been discovered that dolphins can be a natural animal model that fully replicates human T2D, due to its prolonged glucose tolerance curve and maintenance of a state of hyperglycemia similar to human T2D during fasting. This correspondence suggests that dolphins may be a suitable model for investigating physiological and pathological metabolic disorders. Here, we have characterized Nesf-1 distribution in the pancreas of the common bottlenose dolphin (Tursiops truncatus) and measured plasmatic levels of Nesf-1 and glucose during fasting and post-prandial states. The Mediterranean Marine Mammal Tissue Bank (MMMTB) of the University of Padova provided us with pancreas samples, derived from four animals, and plasma samples, collected before and after the main meal. Interestingly, our results showed that Nesf-1-immunoreactive cells were distributed in Langerhans islets, co-localized with glucagon in α-cells. Similar to humans, dolphin plasma Nesf-1 concentration doesn't show a statistically significant difference when comparing fasting and post-prandial states. On the other hand, blood glucose levels were significantly higher before than after the main meal. Our data provide a comparative analysis for further studies on the involvement of Nesf-1 in mammalian metabolic disorders. Copyright © 2018 Gatta, De Felice, D'Angelo, Maruccio, Leggieri, Lucini, Palladino, Paolucci, Scocco, Varricchio and de Girolamo.",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85061743665,"Gatta, Claudia","De Felice, Elena","D'Angelo, Livia","Maruccio, Lucianna","Leggieri, Adele","Lucini, Carla","Palladino, Antonio","Paolucci, Marina","Scocco, Paola","Varricchio, Ettore","De Girolamo, Paolo",,,,,,,SCOPUS
"['Sridhar K.', ' Inbaraj B.S.', ' Chen B.-H.']","Sridhar, Kandi (57203681741); Inbaraj, Baskaran Stephen (57130902200); Chen, Bing-Huei (7408608271)",57203681741; 57130902200; 7408608271,"Recent developments on production, purification and biological activity of marine peptides",2021,Food Research International,147.0,,110468,,,,96,10.1016/j.foodres.2021.110468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108850731&doi=10.1016%2fj.foodres.2021.110468&partnerID=40&md5=f71881adeafab3afd7a3e1604173ec10,"Marine peptides are one of the richest sources of structurally diverse bioactive compounds and a considerable attention has been drawn towards their production and bioactivity. However, there is a paucity in consolidation of emerging trends encompassing both production techniques and biological application. Herein, we intend to review the recent advancements on different production, purification and identification technologies used for marine peptides along with presenting their potential health benefits. Bibliometric analysis revealed a growing number of scientific publications on marine peptides (268 documents per year) with both Asia (37.2%) and Europe (33.1%) being the major contributors. Extraction and purification by ultrafiltration and enzymatic hydrolysis, followed by identification by chromatographic techniques coupled with an appropriate detector could yield a high content of peptides with improved bioactivity. Moreover, the multifunctional health benefits exerted by marine peptides including anti-microbial, antioxidant, anti-hypertension, anti-diabetes and anti-cancer along with their structure–activity relationship were presented. The future perspective on marine peptide research should focus on finding improved separation and purification technologies with enhanced selectivity and resolution for obtaining more novel peptides with high yield and low cost. In addition, by employing encapsulation strategies such as nanoemulsion and nanoliposome, oral bioavailability and bioactivity of peptides can be greatly enhanced. Also, the potential health benefits that are demonstrated by in vitro and in vivo models should be validated by conducting human clinical trials for a technology transfer from bench to bedside. © 2021 Elsevier Ltd",Review,Final,,Scopus,2-s2.0-85108850731,"Sridhar, Kandi","Inbaraj, Baskaran Stephen","Chen, Bing-Huei",,,,,,,,,,,,,,,SCOPUS
"['Fernando I.P.S.', ' Ryu B.', ' Ahn G.', ' Yeo I.-K.', ' Jeon Y.-J.']","Fernando, Ilekuttige Priyan Shanura (57191907328); Ryu, BoMi (35307815200); Ahn, Ginnae (21933616400); Yeo, In-Kyu (8854118900); Jeon, You-Jin (55782690600)",57191907328; 35307815200; 21933616400; 8854118900; 55782690600,Therapeutic potential of algal natural products against metabolic syndrome: A review of recent developments,2020,Trends in Food Science and Technology,97.0,,,286,299,13.0,56,10.1016/j.tifs.2020.01.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078186422&doi=10.1016%2fj.tifs.2020.01.020&partnerID=40&md5=832b4c273a689735eb8cfc22f42582c0,"Background: Metabolic syndrome (MS) defines a group of severe comorbidities, including insulin resistance, abnormal fat accumulation, and high blood pressure that lead to obesity, diabetes, and heart diseases. MS has received a growing concern due to its rising prevalence in many countries. The consumption of high-calorie food, sedentary lifestyle habits, genetic factors, and stress conditions aggravate risk factors for developing metabolic syndrome. Investigations targeting the development of marine algae-based functional food products and drug candidates for attenuating MS have presently received increased attention. Scope and approach: This review delivers an overview of recent (past ten years) advancements in discovering marine algal natural products with therapeutic potential against metabolic syndrome. Pathophysiology of obesity, diabetes mellitus, hypertension, and the action mechanisms of algal natural products are taken into the discussion. Key findings and conclusions: Marine algae, a popular ingredient in East Asian cuisine, is proven to be a source of nutritional and biofunctional natural products with promising ability to remedy MS. These include bioactive polyphenols, sulfated polysaccharides, terpenoids, alkaloids, polyunsaturated fatty acids, and peptides with vast structural diversity. Moreover, algae are rich sources of dietary fibers that decrease the absorption of excessive nutrition and increase microbial functionality in the gut. By today, numerous algae-derived food supplements could be found in the market. The public should be educated on their beneficial effects, and research needs to be advance towards pre-clinical trials targeting the development of pharmaceuticals for the preventive and effective management of MS and its associated complications. © 2020 Elsevier Ltd",Review,Final,,Scopus,2-s2.0-85078186422,"Fernando, Ilekuttige Priyan Shanura","Ryu, BoMi","Ahn, Ginnae","Yeo, In-Kyu","Jeon, You-Jin",,,,,,,,,,,,,SCOPUS
"['Othman N.H.', ' Ismawi H.R.', ' Mohd Zainudin M.', ' Abd Fuaat A.']","Othman, N.H. (59639402900); Ismawi, H.R. (57210843816); Mohd Zainudin, M. (55906801600); Abd Fuaat, A. (57219798930)",59639402900; 57210843816; 55906801600; 57219798930,Antidiabetic Effects of Coffee Enriched with Maca and Marine Collagen Peptide (Blackbelt®) in a Type 2 Diabetes Mellitus Rat Model,2025,IIUM Medical Journal Malaysia,24.0,1,,94,104,10.0,0,10.31436/imjm.v23i04.2622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217097578&doi=10.31436%2fimjm.v23i04.2622&partnerID=40&md5=824d80ac7d4d7fea4adf5491ef8f52bb,"INTRODUCTION: The International Diabetes Federation (IDF) reported 463 million global cases of Type 2 diabetes mellitus (T2DM) in 2019. Lepidium meyenii (maca) and marine collagen peptide (MCP) have individually shown potential in alleviating T2DM symptoms, but their combined effects remain underexplored. This study evaluated the impact of Blackbelt® coffee, enriched with maca and MCP, on fasting blood glucose, insulin levels, and pancreatic and liver histology in a T2DM rat model. MATERIALS AND METHODS: Thirty-six male rats with a high-fat diet and streptozotocin-induced diabetes were treated with metformin, maca, MCP, Maca/MCP® (Blackbelt® formulation), or Blackbelt® coffee for 28 days. Fasting blood glucose (FBG) levels were monitored, and fasting serum insulin, HOMA-IR (insulin resistance), HOMA-B (ß-cell function), and QUICKI (insulin sensitivity) were assessed. Histological analysis of the pancreas and liver was performed using haematoxylin-eosin staining. RESULTS: After 4 weeks, treatments significantly reduced FBG levels compared to control (p<0.05), with Blackbelt® coffee notably increasing insulin production (p<0.05). All groups showed decreased HOMA-IR (p<0.05), and both metformin and Blackbelt® coffee groups had significant HOMA-B score increases (p<0.05). Histological analysis revealed improved pancreatic health in all treated groups, with significant liver histology enhancement in the Blackbelt® coffee group. CONCLUSIONS: Blackbelt® coffee improved FBG levels, insulin resistance, and ß-cell function more effectively than maca or MCP alone, and surpassed metformin in insulin production and hepatoprotective effects. Despite its promising potential for diabetes therapy, further research is needed to understand the synergistic effects of maca and MCP and the contribution of the coffee components. © (2025), (International Islamic University Malaysia). All rights reserved.",Article,Final,,Scopus,2-s2.0-85217097578,"Othman, N.H.","Ismawi, H.R.","Mohd Zainudin, M.","Abd Fuaat, A.",,,,,,,,,,,,,,SCOPUS
"['Abachi S.', ' Bazinet L.', ' Beaulieu L.']","Abachi, Soheila (57514095200); Bazinet, Laurent (6603777952); Beaulieu, Lucie (8504575600)",57514095200; 6603777952; 8504575600,Antihypertensive and angiotensin-i-converting enzyme (ACE)-inhibitory peptides from fish as potential cardioprotective compounds,2019,Marine Drugs,17.0,11,613,,,,92,10.3390/md17110613,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074264392&doi=10.3390%2fmd17110613&partnerID=40&md5=2fc1c5d232c553c2ab929d0c40b12424,"The term metabolic/cardiometabolic/insulin resistance syndrome could generally be defined as the co-occurrence of several risk factors inclusive of systemic arterial hypertension. Not only that organizations, such as the world health organization (WHO) have identified high blood pressure as one of the main risk factors of the cardiometabolic syndrome, but there is also a link between the occurrence of insulin resistance/impaired glucose tolerance and hypertension that would consequently lead to type-2 diabetes (T2D). Hypertension is medicated by various classes of synthetic drugs; however, severe or mild adverse effects have been repeatedly reported. To avoid and reduce these adverse effects, natural alternatives, such as bioactive peptides derived from different sources have drawn the attention of researchers. Among all types of biologically active peptides inclusive of marine-derived ones, this paper's focus would solely be on fish and fishery by-processes' extracted peptides and products. Isolation and fractionation processes of these products alongside their structural, compositional and digestion stability characteristics have likewise been briefly discussed to better address the structure-activity relationship, expanding the reader's knowledge on research and discovery trend of fish antihypertensive biopeptides. Furthermore, drug-likeness of selected biopeptides was predicted by Lipinski's rules to differentiate a drug-like biopeptide from nondrug-like one. © 2019 by the authors.",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85074264392,"Abachi, Soheila","Bazinet, Laurent","Beaulieu, Lucie",,,,,,,,,,,,,,,SCOPUS
"['Mustofa D.A.S.', ' Sahari F.D.', ' Pramudani S.A.', ' Hidayah A.B.', ' Tsany S.F.', ' Salasia S.I.O.']","Mustofa, Dwi Ardyan Syah (59206540500); Sahari, Farhan Dio (59206540600); Pramudani, Syifa Aulia (59205355000); Hidayah, Alifia Brilliani (59205750600); Tsany, Shabrina Farras (59206540700); Salasia, Siti Isrina Oktavia (6602930301)",59206540500; 59206540600; 59205355000; 59205750600; 59206540700; 6602930301,Combination of curcuminoid and collagen marine peptides for healing diabetic wounds infected by methicillin-resistant Staphylococcus aureus,2024,Veterinary World,17.0,4,,933,939,6.0,0,10.14202/vetworld.2024.933-939,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197580319&doi=10.14202%2fvetworld.2024.933-939&partnerID=40&md5=c8eba6cf42a8fe7f1459903d3bb21845,"Background and Aim: The high prevalence of diabetes mellitus in Indonesia indirectly reflects the high risk of developing chronic wounds that are susceptible to infection. Methicillin-resistant Staphylococcus aureus (MRSA) is an infectious pathogen that is resistant to various antibiotics. Therefore, antibiotic therapy is ineffective enough to treat chronic hyperglycemic wounds caused by MRSA infection. Curcuminoids have anti-inflammatory and antibacterial effects by inhibiting the enzymatic pathways involved in the pathogenesis of inflammation. Collagen is a tissue regeneration inducer. The combination of these two ingredients is expected to be an alternative therapy for MRSA-infected hyperglycemic chronic wounds without the risk of antibiotic resistance. The aim of this study was to investigate the efficacy of hydrolacin-gel in wound healing and inhibiting the growth of MRSA bacteria, as well as to determine the optimal concentration of curcuminoids combined with collagen marine peptides (CMPs). Materials and Methods: Hydrolacin-gels were prepared by homogenizing curcuminoid nanoemulsions and CMPs. The evaluation of preparation includes stability tests and antibacterial activity tests. Wound diabetic mice were treated with various combinations of curcuminoid and CMPs. Wound healing was observed based on malondialdehyde levels as a marker of oxidative stress and histopathological changes in the skin wound. Results: Hydrolacin-gel was formulated by combining curcuminoid nanoemulsion (more water soluble) and CMPs, with the ratio of formula 1 (1:2, curcuminoid 43.3 mg and CMPs 5.58 mg), formula 2 (1:1, curcuminoid 86.8 mg and CMPs 3.72), and formula 3 (2:1, curcuminoid 130.2 mg and CMPs 1.87 mg) calculated based on the effective dose of curcuminoid 200 mg/kg body weight (BW) and CMPs 0.9 g/kg BW. Hydrolacin-gel had a potential antibacterial activity against MRSA. Hydrolacin-gel induced wound tissue repair and reduced oxidative stress caused by inflammation in diabetic-infected MRSA. Hydrolacin-gel could be used for healing MRSA-infected diabetic wounds, especially formula 3 with the ratio of curcuminoid: CMPs = 2:1. Conclusion: Hydrolacin-gel combining curcuminoid nanoemulsion and CMPs effectively inhibited the inflammatory process and increased re-epithelialization in MRSA-infected diabetic wound healing. Hydrolacin-gel with curcuminoid (130.2 mg) and CMPs (1.87 mg) at a concentration ratio of 2:1 appeared to be the best formula against MRSA infection in diabetic wounds. Copyright: Mustofa, et al.",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85197580319,"Mustofa, Dwi Ardyan Syah","Sahari, Farhan Dio","Pramudani, Syifa Aulia","Hidayah, Alifia Brilliani","Tsany, Shabrina Farras","Salasia, Siti Isrina Oktavia",,,,,,,,,,,,SCOPUS
"['Kurniawan R.', ' Taslim N.A.', ' Hardinsyah H.', ' Syauki A.Y.', ' Idris I.', ' Aman A.M.', ' Permatasari H.K.', ' Wiyarta E.', ' Surya R.', ' Mayulu N.', ' Putra P.P.', ' Tjandrawinata R.R.', ' Tallei T.E.', ' Kim B.', ' Tsopmo A.', ' Nurkolis F.']","Kurniawan, Rudy (57990353000); Taslim, Nurpudji Astuti (57194571794); Hardinsyah, Hardinsyah (56586054400); Syauki, Andi Yasmin (57376214300); Idris, Irfan (16636857800); Aman, Andi Makbul (57193706169); Permatasari, Happy Kurnia (57194728338); Wiyarta, Elvan (57221521342); Surya, Reggie (56610805600); Mayulu, Nelly (57303104200); Putra, Purnawan Pontana (57222390016); Tjandrawinata, Raymond Rubianto (6603266135); Tallei, Trina Ekawati (57193317686); Kim, Bonglee (51663469700); Tsopmo, Apollinaire (6602260089); Nurkolis, Fahrul (57226728465)",57990353000; 57194571794; 56586054400; 57376214300; 16636857800; 57193706169; 57194728338; 57221521342; 56610805600; 57303104200; 57222390016; 6603266135; 57193317686; 51663469700; 6602260089; 57226728465,Pharmacoinformatics and cellular studies of algal peptides as functional molecules to modulate type-2 diabetes markers,2024,Future Foods,9.0,,100354,,,,4,10.1016/j.fufo.2024.100354,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191446983&doi=10.1016%2fj.fufo.2024.100354&partnerID=40&md5=7ba8790954696285f27694dbeba70fd5,"Novel dietary strategies are urgently needed to address the limitations of current management and treatment options of Type-2 Diabetes (T2D). Marine algae-derived peptides (MAP) represent a promising avenue, although, their potential remains mostly underexplored. This study employs pharmacoinformatics and in vitro methods to evaluate the antidiabetic properties of MAP and provide new insights their mechanisms to mitigate the prevalence of T2D. Through a systematic search and predictive modeling, peptides were identified and assessed for bioactivity, toxicity, and drug-likeness. Furthermore, molecular docking simulations with protein targets related to T2D identified binding sites that be used to optimize the activity of MAP. The structure-activity relationship profile of MAP reveals 13 candidates with probable activity (Pa) scores >0.4, indicative of insulin promoter. The peptide FDGIP (P13;Phe-Asp-Gly-Ile-Pro) from Caulerpa lentillifera had the best in silico assessment value compared to 50 other peptides and its activity was confirmed by in vitro data (e.g.EC50 60.4 and 57.9 for α-amylase and α-glucosidase inhibitions). Interestingly, in 3T3-L1 cells, P13 exhibited inhibitory activities against transcription factors and hormones (MAPK8-JNK1/PPARGC1A/Ghrelin/GLP-1/CPT-1) that can regulate blood sugar and decrease as anti-diabetes. P13 then appears to be a peptide with antidiabetic action that may be used in the formulation foods to manage T2D. © 2024 The Author(s)",Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85191446983,"Kurniawan, Rudy","Taslim, Nurpudji Astuti","Hardinsyah, Hardinsyah","Syauki, Andi Yasmin","Idris, Irfan","Aman, Andi Makbul","Permatasari, Happy Kurnia","Wiyarta, Elvan","Surya, Reggie","Mayulu, Nelly","Putra, Purnawan Pontana","Tjandrawinata, Raymond Rubianto","Tallei, Trina Ekawati","Kim, Bonglee","Tsopmo, Apollinaire","Nurkolis, Fahrul",,SCOPUS
"['Fernando I.P.S.', ' Jayawardena T.U.', ' Wu J.']","Fernando, Ilekuttige Priyan Shanura (57191907328); Jayawardena, Thilina U. (57202071738); Wu, Jianping (7409251383)",57191907328; 57202071738; 7409251383,"Marine proteins and peptides: Production, biological activities, and potential applications",2023,Food Innovation and Advances,2.0,2,,69,84,15.0,29,10.48130/FIA-2023-0009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160231662&doi=10.48130%2fFIA-2023-0009&partnerID=40&md5=d03b0a68e0894cf0e6f8e0adc13a76c2,"Marine protein hydrolysates and peptides have grown in popularity due to their biological activities and robust properties. They are increasingly studied in the functional food, pharmaceutical, and cosmeceutical sectors. This article discusses the current knowledge about preparing protein hydrolysates and peptides from seaweed, seafood, and seafood processing byproducts. Gaps in knowledge and technical expertise required for their industrial integration have been identified. The desire for natural substances to use as functional food has gained prevalence as consumers have become more aware of the adverse side effects of synthetic drugs. Aging-related chronic diseases, including cancer, arteriosclerosis, and diabetes, can be prevented by actively introducing food-based functional ingredients. Marine-derived proteins and peptides still face several hurdles to commercialization, such as scaling up production and maintaining a sustainable supply of raw materials. Further understanding of the physiological functionalities, action mechanisms, and clinical efficacy of these peptides and proteins would facilitate their use in biomedical applications and as functional ingredients in food and cosmetics. © 2023 by the author(s). Published by Maximum Academic Press on behalf of China Agricultural University, Zhejiang University and Shenyang Agricultural University.",Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85160231662,"Fernando, Ilekuttige Priyan Shanura","Jayawardena, Thilina U.","Wu, Jianping",,,,,,,,,,,,,,,SCOPUS
['Priya S.'],"Priya, Sulochana (55344128900)",55344128900,Therapeutic perspectives of food bioactive peptides: A mini review,2019,Protein and Peptide Letters,26.0,9,,664,675,11.0,11,10.2174/0929866526666190617092140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072747482&doi=10.2174%2f0929866526666190617092140&partnerID=40&md5=7286d2335ecd446651e046ecc9cf50aa,"Bioactive peptides are short chain of amino acids (usually 2-20) that are linked by amide bond in a specific sequence which have some biological effects in animals or humans. These can be of diverse origin like plant, animal, fish, microbe, marine organism or even synthetic. They are successfully used in the management of many diseases. In recent years increased attention has been raised for its effects and mechanism of action in various disease conditions like cancer, immunity, cardiovascular disease, hypertension, inflammation, diabetes, microbial infections etc. Bioactive peptides are more bioavailable and less allergenic when compared to total proteins. Food derived bioactive peptides have health benefits and its demand has increased tremendously over the past decade. This review gives a view on last two years research on potential bioactive peptides derived from food which have significant therapeutic effects. © 2019 Bentham Science Publishers.",Review,Final,,Scopus,2-s2.0-85072747482,"Priya, Sulochana",,,,,,,,,,,,,,,,,SCOPUS
"['Sharkey S.J.', ' Harnedy-Rothwell P.A.', ' Allsopp P.J.', ' Hollywood L.E.', ' FitzGerald R.J.', "" O'Harte F.P.M.""]","Sharkey, Shaun J. (57214102452); Harnedy-Rothwell, Pádraigín A. (8702765600); Allsopp, Philip J. (55497078200); Hollywood, Lynsey E. (18041739500); FitzGerald, Richard J. (7202576944); O'Harte, Finbarr P. M. (7005725324)",57214102452; 8702765600; 55497078200; 18041739500; 7202576944; 7005725324,A Narrative Review of the Anti-Hyperglycemic and Satiating Effects of Fish Protein Hydrolysates and Their Bioactive Peptides,2020,Molecular Nutrition and Food Research,64.0,21,2000403,,,,22,10.1002/mnfr.202000403,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091481203&doi=10.1002%2fmnfr.202000403&partnerID=40&md5=1dacdb08759a936dc2b9b8d807a6e2b4,"Prevalence of type 2 diabetes and overweight/obesity are increasing globally. Food supplementation as a preventative option has become an attractive option in comparison to increased pharmacotherapy dependency. Hydrolysates of fish processing waste and by-products have become particularly interesting in a climate of increased food wastage awareness and are rapidly gaining traction in food research. This review summarizes the available research so far on the potential effect of these hydrolysates on diabetes and appetite suppression. Scopus and Web of Science are searched using eight keywords (fish, hydrolysate, peptides, satiating, insulinotropic, incretin, anti-obesity, DPP-4 [dipeptidylpeptidase-4/IV]) returning a total of 2549 results. Following exclusion criteria (repeated appearances, non-fish marine sources [e.g., macroalgae], and irrelevant bioactivities [e.g., immunomodulatory, anti-thrombotic]), 44 relevant publications are included in this review. Stimulation of hormone secretion, regulation of glucose uptake, anorexigenic potential, identified mechanisms of action, and research conducted on the most potent bioactive peptides identified within these hydrolysates are all specifically addressed. Results of this review conclude that despite wide methodological variation between studies, there is significant potential for the application of fish protein hydrolysates in the management of bodyweight and hyperglycemia. © 2020 The Authors. Molecular Nutrition & Food Research published by Wiley-VCH GmbH",Review,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85091481203,"Sharkey, Shaun J.","Harnedy-Rothwell, Pádraigín A.","Allsopp, Philip J.","Hollywood, Lynsey E.","FitzGerald, Richard J.","O'Harte, Finbarr P. M.",,,,,,,,,,,,SCOPUS
