Publication Type,Source Title,Publication Year,Article Title,Abstract,DOI_with_Patent,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16
J,Journal of Coastal Life Medicine,2017.0,Protective role of marine macroalgae extracts against STZ induced diabetic rats,"Objective: To study the anti-diabetic activity of marine macroalgae extracts (n = 31), purification and characterization of sulphated galactopyran (SGP) from Gracilaria opuntia (FM4) in diabetic rats.Methods: The animals were separated into groups and STZ (55 mg/kg body weight) was used to induce diabetics. Glucose, HbA1c, insulin, C-peptide levels and in vivo antioxidant levels were estimated and histopathological studies were done in STZ-induced diabetic and marine macroalgae treated rats.Results: Based on glucose and HbA1c levels and in vivo antioxidant levels, among the 31 marine macroalgae extracts, FM4 has showed high anti-diabetic activity. Hence, FM4 was purified and characterized by 1 H-NMR spectra and FT-IR as sulphated galactopyran. During the survival analysis, SGP at dose of 100 mg/kg showed significant (P < 0.05) survival rate and elevations in C-peptide and insulin levels. The histopathological modulations of SGP were observed in diabetic rat tissues such as liver, kidney and brain. Hence obtained results reveal that SGP treated diabetic rats has significant changes in C-peptide and insulin levels which regulates the blood glucose levels and recovered the histopathological changes.Conclusions: Marine macroalgae have significant anti-diabetic activity. Hence, they could be used as nutraceutical supplement or natural green remedy against diabetes mellitus.",10.12980/jclm.5.2017J7-153,"Rayapu, Lavanya"," Makkar, Fasina"," Anandan, Suresh Karanam"," Maneesh, Anusree"," Chakraborty, Kajal"," Valluru, Lokanatha",,,,,,,,,,
J,MOLECULAR MEDICINE REPORTS,2017.0,Marine collagen peptides reduce endothelial cell injury in diabetic rats by inhibiting apoptosis and the expression of coupling factor 6 and microparticles,"The present study aimed to elucidate the role of marine collagen peptides (MCPs) in protection of carotid artery vascular endothelial cells (CAVECs) in type 2 diabetes mellitus (T2DM), and the mechanism underlying this process. In an in vivo experiment, diabetic Wistar rats were divided randomly into four groups (n= 10/group): Diabetes control, and three diabetes groups administered low, medium and high doses of MCPs (2.25, 4.5 and 9.0 g/kg body weight/day, respectively). Another 10 healthy rats served as the control. In an in vitro experiment, human umbilical-vein endothelial cells (HUVECs) were incubated in normal and high concentrations of glucose with or without MCPs (3.0, 15.0 and 30.0 mg/ml, respectively) for 24, 48 or 72 h. Blood vessel/endothelial construction, inflammatory exudation and associated molecular biomarkers in CAVECs were detected and analyzed. The results of the present study demonstrated that in rats, MCP treatment for 4 weeks significantly lowered blood glucose and attenuated endothelial thinning and inflammatory exudation in carotid-artery vascular endothelial cells. In vitro, the high-glucose intervention significantly increased cell apoptosis in HUVECs, and medium and high doses of MCPs (4.5 and 9.0 g/kg body weight/day, respectively) partially ameliorated this high glucose-mediated apoptosis and decreased levels of apoptosis biomarkers. In conclusion, a moderate oral MCP dose (> 4.5 g/kg body weight/day) may be a novel therapeutic tool to protect against early cardiovascular complications associated with T2DM by inhibiting apoptosis and reducing the expression of coupling factor 6 and microparticles.",10.3892/mmr.2017.7061,"Zhu, Cuifeng"," Zhang, Wei"," Liu, Jianguo"," Mu, Bo"," Zhang, Fan"," Lai, Nannan"," Zhou, Jianxin"," Xu, Aimin"," Li, Yong",,,,,,,
J,MARINE DRUGS,2023.0,Antidiabetic Effect of Collagen Peptides from Harpadon nehereus Bones in Streptozotocin-Induced Diabetes Mice by Regulating Oxidative Stress and Glucose Metabolism,"Oxidative stress and abnormal glucose metabolism are the important physiological mechanisms in the occurrence and development of diabetes. Antioxidant peptides have been reported to attenuate diabetes complications by regulating levels of oxidative stress, but few studies have focused on peptides from marine bone collagen. In this study, we prepared the peptides with a molecular weight of less than 1 kD (HNCP) by enzymolysis and ultrafiltration derived from Harpadon nehereus bone collagen. Furthermore, the effects of HNCP on blood glucose, blood lipid, liver structure and function, oxidative stress, and glucose metabolism were studied using HE staining, kit detection, and Western blotting experiment in streptozocin-induced type 1 diabetes mice. After the 240 mg/kg HNCP treatment, the levels of blood glucose, triglyceride (TG), and low-density lipoprotein cholesterol (LDL-C) in streptozotocin-induced diabetes mice decreased by 32.8%, 42.2%, and 43.2%, respectively, while the levels of serum insulin and hepatic glycogen increased by 142.0% and 96.4%, respectively. The antioxidant enzymes levels and liver function in the diabetic mice were markedly improved after HNCP intervention. In addition, the levels of nuclear factor E2-related factor 2 (Nrf2), glucokinase (GK), and phosphorylation of glycogen synthase kinase-3 (p-GSK3 beta) in the liver were markedly up-regulated after HNCP treatment, but the glucose-6-phosphatase (G6Pase) and phosphoenolpyruvate carboxykinase1 (PEPCK1) were down-regulated. In conclusion, HNCP could attenuate oxidative stress, reduce blood glucose, and improve glycolipid metabolism in streptozocin-induced type 1 diabetes mice.",10.3390/md21100518,"Lin, Qianxia"," Guo, Yueping"," Li, Jie"," He, Shuqi"," Chen, Yan"," Jin, Huoxi",,,,,,,,,,
J,ENZYME AND MICROBIAL TECHNOLOGY,1998.0,"Fluorescent measurement of 1,5-anhydro-D-glucitol based on a novel marine bacterial glucose dehydrogenase","A novel glucose dehydrogenase (GDH) which reacts with 1,5-anhydro-D-glucitol (1,5AG), a clinical marker of diabetes, was purified from a soluble fraction of a newly isolated marine Gram-negative bacterium designated strain alpha-15, which was identified as a Deleya sp. This GDH is composed of a single peptide with a molecular weight of 67 kDa by SDS-PAGE and gel filtration chromatography. It cannot oxidize the C-1 hydroxy group of glucose which is commonly oxidized by other known GDHs or glucose oxidase.Since this enzyme reacts with 1,5AG, a navel enzymatic method for 1,5AG determination was developed utilizing the fluorescent electron mediator, AlamarBlue(TM). A good linear correlation was observed from 2.5-200 mu M of 1,5AG, which covers both the healthy subjects' and the diabetics' range in blood. (C) 1998 Elsevier Science Inc.",10.1016/S0141-0229(97)00194-4,"Tsugawa, W"," Ogasawara, N"," Sode, K",,,,,,,,,,,,,
J,FRONTIERS IN NUTRITION,2019.0,Peptides and Peptidomimetics as Potential Antiobesity Agents: Overview of Current Status,"There is a high occurrence of obesity worldwide without many new medications being approved for its treatment. Therefore, there is an urgent need to introduce new approaches for treating obesity. Bioactive peptides have been used to treat metabolic disorders-such as type-2 diabetes and obesity; while also possessing anti-oxidant, anti-inflammatory, anti-microbial, and anti-viral properties. However, the development of these peptides has taken backstage due to their size, reduced stability, poor delivery and bioavailability, fast rate of degradation etc. But with the emergence of newer techniques for multifunctional peptides, mimetics, peptide analogs, and aptamers, there is a sudden revival in this therapeutic field. An increased attention is required for development of the natural peptides from food and marine sources which can mimic the function of mediators involved in weight management to avoid obesity. Herein, the search for the structures of anti-obesity peptides was carried out in order to establish their potential for drug development in future. An extensive search for the current status of endogenous, food and marine peptides, with reference to novel and interesting experimental approaches based on peptidomimetics for controlling obesity, was performed. Apolipoprotein A-I (apoA-I), melanocortin-4 receptor (MC4R)-specific agonist, GLP-1 dual and triple agonists, neuropeptides and prolactin-releasing peptide mimetics were specifically examined for their anti-obesity role. Novel peptides, mimetics, and synthesis interventions are transpiring and might offer safer alternatives for otherwise scarcely available safe antiobesity drug. A deeper understanding of peptides and their chemistry through the use of peptide engineering can be useful to overcome the disadvantages and select best mimetics and analogs for treatment in future.",10.3389/fnut.2019.00011,"Kumar, Maushmi S.",,,,,,,,,,,,,,,
J,JOURNAL OF FOOD BIOCHEMISTRY,2020.0,"Extraction and characterization of novel multifunctional peptides from Trachinus Draco (greater weever) myofibrillar proteins with ACE/DPP4 inhibitory, antioxidant, and metal chelating activities","Marine organisms represent a great source of natural bioactive molecules, from which bioactive peptides are of great importance in biomedicine application in many diseases such as diabetes and its related complications. In this study, greater weever (Trachinus Draco) myofibrillar proteins were sequentially hydrolyzed and the different RP-HPLC purified fractions were tested for potential inhibitory activities of ACE and DPP4, in addition to metal chelation and antioxidant activities. Four fractions were found to have high levels of activity (with two peptides being multifunctional) and were subsequently sequenced using the de novo sequencing method. The results indicate that the peptides are novel and highly effective for each related activity compared to reference molecules. The current findings suggest these multifunctional peptides as promising therapeutics against oxidative stress, hypertension, and diabetes.Practical applications We have described the finding of two multifunctional bioactive peptides from Trachinus Draco (greater weever) myofibrillar proteins having two or more activities. They have ACE inhibitory, DPP4 inhibitory, antioxidant, and metal chelation activities. These new peptides could be used for future biomedicine applications as a stand-alone treatment, in combination with other molecules, or as a supplement. Furthermore, after identification of their sequence in our work, it would have a great potential to be artificially synthesized. The field of food supplements could be explored further.",10.1111/jfbc.13179,"Kula, Elif"," Kocazorbaz, Ebru Kocadag"," Moulahoum, Hichem"," Alpat, Senol"," Zihnioglu, Figen",,,,,,,,,,,
J,CURRENT OPINION IN FOOD SCIENCE,2022.0,Emerging proteins as precursors of bioactive peptides/hydrolysates with health benefits,"In response to population growth, environmental concerns, and global climate changes, there is a growing interest to use emerging proteins, that is, proteins from insect and seaweed, and underutilized agricultural/industrial by-products/waste, such as oilseed meal/cake (hemp, olive, flaxseed, rapeseed, sunflower, and sesame), spent grain (brewer and distilled liquor), seed, and pomace/pit from processing of plant-based foods. Emerging proteins also represent good precursors of bioactive peptides/hydrolysates with potential health-beneficial effects against cardiovascular diseases (including hypertension, type-2 diabetes, and obesity), cancers, and neurodegenerative diseases. Herein, this review reviews the origin, preparation, characterization, and health-beneficial properties of bioactive peptides (including protein hydrolysates) from emerging protein sources, as well as their potential uses and limitations as functional foods ingredients, dietary supplements, and nutraceuticals.",10.1016/j.cofs.2022.100914,"Wang, Shuguang"," Zhao, Mouming"," Fan, Hongbing"," Wu, Jianping",,,,,,,,,,,,
J,JOURNAL OF FUNCTIONAL FOODS,2021.0,Anti-diabetic properties of bioactive components from fish and milk,"Milk and fish are two important nutrient rich foods that have shown to possess positive effects in the management of type 2 diabetes mellitus (T2DM). Recent evidence from several interventional studies in humans have demonstrated the beneficial effects of bioactive proteins, peptides, and fatty acids derived from fish and milk sources in the prevention and management of T2DM. The anti-diabetic compounds present in the fish are proteins, peptides, and omega-3 polyunsaturated fatty acids (PUFA), while milk bioactive compounds are casein, casein derived peptides, whey proteins, and whey protein derived peptides. Fish and milk derived bioactive proteins, peptides and fatty acids exhibited anti-diabetic effects through several mechanisms. This review mainly focuses on the recent studies related to the anti-diabetic activities of fish and milk derived bioactive compounds (proteins, peptides, fatty acids) in humans, animals and in vitro, and mechanisms of action of these bioactive compounds in the management of T2DM.",10.1016/j.jff.2021.104669,"Zhou, Xu"," Chai, Luyu"," Wu, Qingni"," Wang, Yanping"," Li, Shuqing"," Chen, Jianrong",,,,,,,,,,
J,IIUM MEDICAL JOURNAL MALAYSIA,2025.0,Antidiabetic Effects of Coffee Enriched with Maca and Marine Collagen Peptide (Blackbelt®) in a Type 2 Diabetes Mellitus Rat Model,"INTRODUCTION: The International Diabetes Federation (IDF) reported 463 million global cases of Type 2 diabetes mellitus (T2DM) in 2019. Lepidium meyenii (maca) and marine collagen peptide (MCP) have individually shown potential in alleviating T2DM symptoms, but their combined effects remain underexplored. This study evaluated the impact of Blackbelt (R) coffee, enriched with maca and MCP, on fasting blood glucose, insulin levels, and pancreatic and liver histology in a T2DM rat model. MATERIALS AND METHODS: Thirty-six male rats with a high-fat diet and streptozotocin-induced diabetes were treated with metformin, maca, MCP, Maca/MCP (R) (Blackbelt (R) formulation), or Blackbelt (R) coffee for 28 days. Fasting blood glucose (FBG) levels were monitored, and fasting serum insulin, HOMA-IR (insulin resistance), HOMA-B (ss-cell function), and QUICKI (insulin sensitivity) were assessed. Histological analysis of the pancreas and liver was performed using haematoxylin-eosin staining. RESULTS: After 4 weeks, treatments significantly reduced FBG levels compared to control (p<0.05), with Blackbelt (R) coffee notably increasing insulin production (p<0.05). All groups showed decreased HOMA-IR (p<0.05), and both metformin and Blackbelt (R) coffee groups had significant HOMA-B score increases (p<0.05). Histological analysis revealed improved pancreatic health in all treated groups, with significant liver histology enhancement in the Blackbelt (R) coffee group. CONCLUSIONS: Blackbelt (R) coffee improved FBG levels, insulin resistance, and ss-cell function more effectively than maca or MCP alone, and surpassed metformin in insulin production and hepatoprotective effects. Despite its promising potential for diabetes therapy, further research is needed to understand the synergistic effects of maca and MCP and the contribution of the coffee components.",10.31436/imjm.v23i04.2622,"Othman, N. H."," Ismawi, H. R."," Zainudin, M. Mohd"," Abd Fuaat, A.",,,,,,,,,,,,
J,MARINE DRUGS,2024.0,Marine Microalgal Products with Activities against Age-Related Cardiovascular Diseases,"Heart disease is one of the leading causes of death worldwide, and it is estimated that 17.9 million people die of it each year. The risk factors for cardiovascular diseases are attributable to an unhealthy and sedentary lifestyle, poor nutrition, stress, genetic predisposition, diabetes, obesity, and aging. Marine microalgae have been the subject of numerous studies for their potential activity against several human diseases. They produce a plethora of primary and secondary metabolites such as essential nutrients, vitamins, pigments, and omega-3 fatty acid. Many of these molecules have antioxidant properties and have been shown to play a role in the prevention of heart diseases. The aim of this review is to summarize recent studies on the discovery of marine microalgal compounds and bioactivities for cardiovascular diseases, including in vitro and in vivo studies, showing and discussing recent discoveries and trends. The most promising results were found for microalgal polysaccharides, peptides and carotenoids. In conclusion, the overall data summarized here show that microalgae-based supplementation has the potential to improve age-related cardiovascular diseases and we expect more clinical studies in the future.",10.3390/md22050229,"Yurika, Nova"," Montuori, Eleonora"," Lauritano, Chiara",,,,,,,,,,,,,
J,JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,2017.0,Effects of marine collagen peptides on glucose metabolism and insulin resistance in type 2 diabetic rats,"The present study was conducted to investigate the effects of marine collagen peptides (MCPs) on glucose metabolism and insulin resistance using a rat model of type 2 diabetes mellitus (T2DM). Forty T2DM obese Wistar rats were randomly assigned to receive varying doses of MCPs or a vehicle control for 4 weeks. Blood glucose and insulin levels, as well as oxidative stress and inflammation were measured. The expression of glucose transporter type 4 (GLUT4) in skeletal muscles and peroxisome proliferator-activated receptor-alpha (PPAR-alpha) in livers of T2DM rats was also measured. It was found that in the group of 9.0 g/kg/day MCPs significantly improved glucose, insulin, and homeostatic model assessment-insulin resistance, and increased the insulin sensitivity index (ISI). In addition, the groups of 4.5 and 2.25 g/kg/day MCPs significantly improved liver steatosis. It was also found that MCPs decreased expression of oxidative stress biomarkers and inflammatory cytokines and adipocytokines in T2DM rats. In conclusion, medium and high doses of MCPs (ae4.5 g/kg/day) improved glucose metabolism and insulin sensitivity in T2DM rats. These beneficial effects of MCPs may be mediated by decreasing oxidative stress and inflammation and by up-regulating GLUT4, and PPAR-alpha activity.",10.1007/s13197-017-2663-z,"Zhu, CuiFeng"," Zhang, Wei"," Mu, Bo"," Zhang, Fan"," Lai, NanNan"," Zhou, JianXin"," Xu, AiMin"," Liu, JianGuo"," Li, Yong",,,,,,,
J,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,2023.0,"Beneficial effects of fish and fish peptides on main metabolic syndrome associated risk factors: Diabetes, obesity and lipemia","The definition of metabolic syndrome (MetS) fairly varies from one to another guideline and health organization. Per description of world health organization, occurrence of hyperinsulinemia or hyperglycemia in addition to two or more factors of dyslipidemia, hypoalphalipoproteinemia, hypertension and or large waist circumference factors would be defined as MetS. Conventional therapies and drugs, commonly with adverse effects, are used to treat these conditions and diseases. Nonetheless, in the recent decades scientific community has focused on the discovery of natural compounds to diminish the side effects of these medications. Among many available bioactives, biologically active peptides have notable beneficial effects on the management of diabetes, obesity, hypercholesterolemia, and hypertension. Marine inclusive of fish peptides have exerted significant bioactivities in different experimental in-vitro, in-vivo and clinical settings. This review exclusively focuses on studies from the recent decade investigating hypoglycemic, hypolipidemic, hypercholesterolemic and anti-obesogenic fish and fish peptides. Related extraction, isolation, and purification methodologies of anti-MetS fish biopeptides are reviewed herein for comparison purposes only. Moreover, performance of biopeptides in simulated gastrointestinal environment and structure-activity relationship along with absorption, distribution, metabolism, and excretion properties of selected oligopeptides have been discussed, in brief, to broaden the knowledge of readers on the design and discovery trends of anti-MetS compounds.",10.1080/10408398.2022.2052261,"Abachi, Soheila"," Pilon, Genevieve"," Marette, Andre"," Bazinet, Laurent"," Beaulieu, Lucie",,,,,,,,,,,
J,DENTAL MATERIALS JOURNAL,2021.0,Functional roles of fish collagen peptides on bone regeneration,"Fish collagen peptides (FCP) derived from the skin, bones and scales are commercially used as a functional food or dietary supplement for hypertension and diabetes. However, there is limited evidence on the effects of FCP on the osteoblast function in contrast to evidence of the effects on wound healing, diabetes and bone regeneration, which have been obtained from animal studies. In this narrative review, we expound on the availability of FCP by basic research using osteoblasts. Low-concentration FCP upregulates the expression of osteoblast proliferation, differentiation and collagen modifying enzyme-related genes. Furthermore, it could accelerate matrix mineralization. FCP may have potential utility as a biomaterial to improve collagen quality and promote mineralization through the mitogen-activated protein kinase and Smad cascades. However, there are few clinical studies on bone regeneration in human subjects. It is desirable to be applied clinically through clinical study as soon as possible, based on the results from basic research.",10.4012/dmj.2020-446,"Yamada, Shizuka"," Yamamoto, Kohei"," Nakazono, Ayako"," Matsuura, Takashi"," Yoshimura, Atsutoshi",,,,,,,,,,,
J,TRENDS IN FOOD SCIENCE & TECHNOLOGY,2020.0,Therapeutic potential of algal natural products against metabolic syndrome: A review of recent developments,"Background: Metabolic syndrome (MS) defines a group of severe comorbidities, including insulin resistance, abnormal fat accumulation, and high blood pressure that lead to obesity, diabetes, and heart diseases. MS has received a growing concern due to its rising prevalence in many countries. The consumption of high-calorie food, sedentary lifestyle habits, genetic factors, and stress conditions aggravate risk factors for developing metabolic syndrome. Investigations targeting the development of marine algae-based functional food products and drug candidates for attenuating MS have presently received increased attention.Scope and approach: This review delivers an overview of recent (past ten years) advancements in discovering marine algal natural products with therapeutic potential against metabolic syndrome. Pathophysiology of obesity, diabetes mellitus, hypertension, and the action mechanisms of algal natural products are taken into the discussion.Key findings and conclusions: Marine algae, a popular ingredient in East Asian cuisine, is proven to be a source of nutritional and biofunctional natural products with promising ability to remedy MS. These include bioactive polyphenols, sulfated polysaccharides, terpenoids, alkaloids, polyunsaturated fatty acids, and peptides with vast structural diversity. Moreover, algae are rich sources of dietary fibers that decrease the absorption of excessive nutrition and increase microbial functionality in the gut. By today, numerous algae-derived food supplements could be found in the market. The public should be educated on their beneficial effects, and research needs to be advance towards pre-clinical trials targeting the development of pharmaceuticals for the preventive and effective management of MS and its associated complications.",10.1016/j.tifs.2020.01.020,"Fernando, Ilekuttige Priyan Shanura"," Ryu, BoMi"," Ahn, Ginnae"," Yeo, In-Kyu"," Jeon, You-Jin",,,,,,,,,,,
J,METABOLISM-CLINICAL AND EXPERIMENTAL,1989.0,DOSE-RESPONSE EFFECTS OF DIETARY MARINE OIL ON CARBOHYDRATE AND LIPID-METABOLISM IN NORMAL SUBJECTS AND PATIENTS WITH HYPERTRIGLYCERIDEMIA,"Recent studies indicate that marine (.omega.-3) fatty acids decrease hypertriglyceridemia but worsen hyperglycemia in diabetes. We studied dose-response relationships between .omega.-3 intake and indices of carbohydrate and lipid metabolism in 21 hypertriglyceridemic patients with (n = 6) or without (n = 15) diabetes, and 6 normal volunteers. All subjects consumed isocaloric diets of 65% carbohydrate, 20% fat, and 15% protein. The basal diet contained 15% of total calories as vegetable oil (.omega.-6), and the test diets included 15%, 75%, or 3.75% calories as fish oil (MaxEPA). After three months of the basal diet, patients were randomized to receive two 3-month .omega.-3 diets in the following sequences: 15%/7.5%, 7.5%/15%, 7.5%/3.75%, or 3.75%/7.5%. Both 15% and 7.5% diets, regardless of sequence, significantly decreased serum triglycerides but increased low-density lipoprotein (LDL)-cholesterol levels as much as 98% and the LDL/high-density lipoprotein (HDL)-cholesterol ratio as much as 1.6-fold. Daily insulin requirements of three diabetic patients increased progressively while they received an .omega.-3-enriched diet for up to 2 years. In healthy controls, favorable changes induced by an .omega.-3 fatty acid diet in serum lipids and lipoproteins were associated with a tendency toward an inhibition of C-peptide secretion following a meal challenge. We conclude that substitution of commercially available .omega.-3 for .omega.-6 fatty acids improves hypertriglyceridemia but may worsen other lipoprotein indices and may increase insulin requirements in diabetic hypertriglyceridemic subjects.",10.1016/0026-0495(89)90004-8,"STACPOOLE, PW"," ALIG, J"," AMMON, L"," CROCKETT, SE",,,,,,,,,,,,
J,MARINE DRUGS,2024.0,Effects of Marine-Derived Components on Cardiovascular Disease Risk Factors and Gut Microbiota Diversity,"Cardiovascular diseases (CVDs), which comprise coronary heart disease, hypertension, and stroke, collectively represent the number one cause of death globally. Atherosclerosis is the dominant cause of CVDs, and its risk factors are elevated levels of low-density lipoprotein cholesterol and triglycerides, hypertension, cigarette smoking, obesity, and diabetes mellitus. In addition, diverse evidence highlights the role played by inflammation and clonal haematopoiesis, eventually leading to immunity involvement. The human microbiota project and subsequent studies using next-generation sequencing technology have indicated that thousands of different microbial species are present in the human gut. Disturbances in the gut microbiota (GM) composition, i.e., gut dysbiosis, have been associated with diseases ranging from localised gastrointestinal disorders to metabolic and cardiovascular illnesses. Of note, experimental studies suggested that GM, host immune cells, and marine-derived ingredients work together to ensure intestinal wall integrity. This review discusses current evidence concerning the links among GM, marine-derived ingredients, and human inflammatory disease. In detail, we summarise the impact of fish-derived proteins/peptides and algae components on CVD risk factors and gut microbiome. Furthermore, we describe the interplay among these dietary components, probiotics/prebiotics, and CVDs.",10.3390/md22110523,"Lamminpaa, Ingrid"," Amedei, Amedeo"," Parolini, Cinzia",,,,,,,,,,,,,
J,NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,2025.0,Marine-derived bioactive compounds for neuropathic pain: pharmacology and therapeutic potential,"Neuropathic pain, a challenging condition often associated with diabetes, trauma, or chemotherapy, impairs patients' quality of life. Current treatments often provide inconsistent relief and notable adverse effects, highlighting the urgent need for safer and more effective alternatives. This review investigates marine-derived bioactive compounds as potential novel therapies for neuropathic pain management. Marine organisms, including fungi, algae, cone snails, sponges, soft corals, tunicates, and fish, produce a diverse range of secondary metabolites with significant pharmacological properties. These include peptides (e.g., conopeptides, piscidin 1), non-peptides (e.g., guanidinium toxins, astaxanthin, docosahexaenoic acid, fucoidan, apigenin, fumagillin, aaptamine, flexibilide, excavatolide B, capnellenes, austrasulfones, lemnalol), and crude extracts (e.g., Spirulina platensis, Dunaliella salina, Cliothosa aurivilli). These compounds exhibit diverse mechanisms of action, such as modulating ion channels (e.g., transient receptor potential channels, voltage-gated sodium, calcium, and potassium channels, and G protein-coupled inwardly rectifying potassium channels), interacting with cell-surface receptors (e.g., nicotinic acetylcholine, NMDA, kainate, GABAB, and neurotensin receptors), inhibiting norepinephrine transporters, reducing oxidative stress, and attenuating neuroinflammation. These effects collectively contribute to alleviating nerve degeneration and symptoms of neuropathic pain, including hyperalgesia, allodynia, and associated psychomotor disturbances. Marine-derived bioactive compounds represent promising alternatives to conventional neuropathic pain treatments, to advance their development and assess their integration into neuropathic pain management strategies.",10.1007/s00210-024-03667-7,"Mishra, Swapnil"," Mishra, Yogesh"," Kumar, Ashutosh",,,,,,,,,,,,,
J,AQUACULTURE,2018.0,"Bioactivities of the edible brown seaweed, Undaria pinnatifida: A review","Natural ingredients containing high nutrients, various natural compounds, with broad spectrum of bioactivities and wide range of natural distribution or production, have been attracting more and more attention in food and pharmaceutical industries. Undaria pinnatifida, is an edible brown seaweed that contains high carbohydrate, protein, microelement, and various types of secondary metabolites, which possess strong bioactivities. It has been one of the popular seaweeds used for food as well as medicine in most of Asian countries including China, Korea, and Japan for a long time. Recent studies suggest that U. pinnatifida is rich in natural compounds such as polyphenols, peptides, and polysaccharides, these compounds possess various bioactivities such as anticancer, antioxidant, anti-inflammatory, and anti-diabetes properties. In the present review, we have collected and summarized the scientific data published about the bioactivities of U. pinnatifida.",10.1016/j.aquaculture.2018.06.079,"Wang, Lei"," Park, Young-Jin"," Jeon, You-Jin"," Ryu, BoMi",,,,,,,,,,,,
J,PROTEIN AND PEPTIDE LETTERS,2019.0,Therapeutic Perspectives of Food Bioactive Peptides: A Mini Review,"Bioactive peptides are short chain of amino acids (usually 2-20) that are linked by amide bond in a specific sequence which have some biological effects in animals or humans. These can be of diverse origin like plant, animal, fish, microbe, marine organism or even synthetic. They are successfully used in the management of many diseases. In recent years increased attention has been raised for its effects and mechanism of action in various disease conditions like cancer, immunity, cardiovascular disease, hypertension, inflammation, diabetes, microbial infections etc. Bioactive peptides are more bioavailable and less allergenic when compared to total proteins. Food derived bioactive peptides have health benefits and its demand has increased tremendously over the past decade. This review gives a view on last two years research on potential bioactive peptides derived from food which have significant therapeutic effects.",10.2174/0929866526666190617092140,"Priya, Sulochana",,,,,,,,,,,,,,,
J,YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN,2019.0,Search for Protein Tyrosine Phosphatase 1B Inhibitors from Marine Organisms and Induced Production of New Fungal Metabolites by Modulating Culture Methods,"Marine environments offer a rich source of natural products with potential therapeutic applications because the ocean covers 70% of the earth's surface and approximately 80% of all living organisms live in the sea. Therefore we have investigated bioactive compounds from marine organisms such as marine sponges, ascidians, and marine-derived microorganisms. This review consists of two topics based on marine natural product chemistry. (1) Protein tyrosine phosphatase (PTP) 1B plays a key role as a negative regulator in the insulin and leptin signaling pathways. Accordingly, the development of PTP1B inhibitors is expected to provide new drugs for type 2 diabetes and obesity. We have been searching for new types of PTP1B inhibitors among marine organisms and identified various PTP1B inhibitors from marine sponges and fungi. This review presents their structural diversities and unique biological properties. (2) In the course of our studies on the induced production of new fungal metabolites, the Palauan marine-derived fungus, Trichoderma cf. brevicompactum TPU199, was found to produce the unusual epipolythiodiketopiperazines, gliovirin and pretrichodermamide A. Long-term static fermentation of the strain induced production of a new dipeptide, dithioaspergillazine A, whereas fermentation of the strain with NaCl, NaBr, and NaI produced the Cl and Br derivatives of pretrichodermamide A and a new iodinated derivative, iododithiobrevamide, respectively. Moreover, DMSO-added seawater medium induced the production of diketopiperazine with the unprecedented trithio-bridge, chlorotrithiobrevamide. This fermentation study on the strain as well as the structures of the metabolites obtained are described in this review.",10.1248/yakushi.18-00221,"Yamazaki, Hiroyuki",,,,,,,,,,,,,,,
J,MOLECULAR NUTRITION & FOOD RESEARCH,2020.0,A Narrative Review of the Anti-Hyperglycemic and Satiating Effects of Fish Protein Hydrolysates and Their Bioactive Peptides,"Prevalence of type 2 diabetes and overweight/obesity are increasing globally. Food supplementation as a preventative option has become an attractive option in comparison to increased pharmacotherapy dependency. Hydrolysates of fish processing waste and by-products have become particularly interesting in a climate of increased food wastage awareness and are rapidly gaining traction in food research. This review summarizes the available research so far on the potential effect of these hydrolysates on diabetes and appetite suppression. Scopus and Web of Science are searched using eight keywords (fish, hydrolysate, peptides, satiating, insulinotropic, incretin, anti-obesity, DPP-4 [dipeptidylpeptidase-4/IV]) returning a total of 2549 results. Following exclusion criteria (repeated appearances, non-fish marine sources [e.g., macroalgae], and irrelevant bioactivities [e.g., immunomodulatory, anti-thrombotic]), 44 relevant publications are included in this review. Stimulation of hormone secretion, regulation of glucose uptake, anorexigenic potential, identified mechanisms of action, and research conducted on the most potent bioactive peptides identified within these hydrolysates are all specifically addressed. Results of this review conclude that despite wide methodological variation between studies, there is significant potential for the application of fish protein hydrolysates in the management of bodyweight and hyperglycemia.",10.1002/mnfr.202000403,"Sharkey, Shaun J."," Harnedy-Rothwell, Padraigin A."," Allsopp, Philip J."," Hollywood, Lynsey E."," FitzGerald, Richard J."," O'Harte, Finbarr P. M.",,,,,,,,,,
