Journal,Year,Title,Abstract,DOI,Document Type,Data_Set,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30
Marine drugs,2024,"Generation, Characterisation and Identification of Bioactive Peptides from 
      Mesopelagic Fish Protein Hydrolysates Using In Silico and In Vitro Approaches.
","This study generated bioactive hydrolysates using the enzyme Alcalase and 
      autolysis from mesopelagic fish, including Maurolicus muelleri and Benthosema 
      glaciale. Generated hydrolysates were investigated for their bioactivities using 
      in vitro bioassays, and bioactive peptides were identified using mass 
      spectrometry in active hydrolysates with cyclooxygenase, dipeptidyl peptidase IV 
      and antioxidant activities. In silico analysis was employed to rank identified 
      peptide sequences in terms of overall bioactivity using programmes including 
      Peptide Ranker, PrepAIP, Umami-MRNN and AntiDMPpred. Seven peptides predicted to 
      have anti-inflammatory, anti-type 2 diabetes or Umami potential using in silico 
      strategies were chemically synthesised, and their anti-inflammatory activities 
      were confirmed using in vitro bioassays with COX-1 and COX-2 enzymes. The peptide 
      QCPLHRPWAL inhibited COX-1 and COX-2 by 82.90% (+/-0.54) and 53.84%, 
      respectively, and had a selectivity index greater than 10. This peptide warrants 
      further research as a novel anti-inflammatory/pain relief peptide. Other peptides 
      with DPP-IV inhibitory and Umami flavours were identified. These offer potential 
      for use as functional foods or topical agents to prevent pain and inflammation.",10.3390/md22070297 ,article,PubMed,"Hayes, Maria","Naik, Azza","Mora, Leticia","Iñarra, Bruno","Ibarruri, Jone","Bald, Carlos","Cariou, Thibault","Reid, David","Gallagher, Michael","Dragøy, Ragnhild","Galino, Jorge","Deyà, Alba","Albrektsen, Sissel","Thoresen, Lars","Solstad, Runar G",,,,,,,,,,,,,,,
Biomacromolecules,2021,Sustained Release Systems for Delivery of Therapeutic Peptide/Protein.,"Peptide/protein therapeutics have been significantly applied in the clinical 
      treatment of various diseases such as cancer, diabetes, etc. owing to their high 
      biocompatibility, specificity, and therapeutic efficacy. However, due to their 
      immunogenicity, instability stemming from its complex tertiary and quaternary 
      structure, vulnerability to enzyme degradation, and rapid renal clearance, the 
      clinical application of protein/peptide therapeutics is significantly confined. 
      Though nanotechnology has been demonstrated to prevent enzyme degradation of the 
      protein therapeutics and thus enhance the half-life, issues such as initial burst 
      release and uncontrollable release kinetics are still unsolved. Moreover, the 
      traditional administration method results in poor patient compliance, limiting 
      the clinical application of protein/peptide therapeutics. Exploiting the 
      sustained-release formulations for more controllable delivery of protein/peptide 
      therapeutics to decrease the frequency of injection and enhance patient 
      compliance is thus greatly meaningful. In this review, we comprehensively 
      summarize the substantial advancements of protein/peptide sustained-release 
      systems in the past decades. In addition, the advantages and disadvantages of all 
      these sustained-release systems in clinical application together with their 
      future challenges are also discussed in this review.",10.1021/acs.biomac.1c00160 ,review,PubMed,"Nie, Tianqi","Wang, Wei","Liu, Xiaohu","Wang, Yanan","Li, Keyang","Song, Xinyu","Zhang, Jingwen","Yu, Liangmin","He, Zhiyu",,,,,,,,,,,,,,,,,,,,,
Military medicine,2020,Correct Diabetes Diagnosis and Treatment Allows Sailor to Remain on Active Duty.,"Diabetes is a growing epidemic worldwide and among our active duty population, 
      posing a significant threat to maintaining military health and operational 
      readiness. Latent autoimmune diabetes in adults (LADA) is a growing clinical 
      phenotype of diabetes, with overlap between traditional type 1 diabetes mellitus 
      and type 2 diabetes mellitus. In this case, a 27-year-old active duty male 
      presented with polydipsia, polyuria, polyphagia, and recent weight loss. He was 
      diagnosed with LADA, placed on a period of limited duty status and started on 
      insulin. Eight months after diagnosis, he was transitioned from insulin to a 
      glucagon-like peptide-1 receptor agonist in an effort to be returned to full duty 
      status and worldwide deployable. Over 3 years after initial diagnosis, he has 
      achieved partial clinical remission. He remains on active duty, serving on a 
      medically limited platform with a single medication (a glucagon-like peptide-1 
      receptor agonist) and high compliance with a gluten-free, low-carbohydrate diet 
      and regular exercise. One should consider the diagnosis of LADA and its unique 
      management, especially in the younger active duty population. Not only is making 
      the correct diagnosis regarding the type of diabetes critical in regard to 
      prognosis and optimal medical management, but it can affect the ability of 
      military members to remain on active duty.",10.1093/milmed/usaa012 ,article,PubMed,"Frazier, Andrea R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Progress in brain research,2020,"Diabetes exacerbates brain pathology following a focal blast brain injury: New 
      role of a multimodal drug cerebrolysin and nanomedicine.","Blast brain injury (bBI) is a combination of several forces of pressure, 
      rotation, penetration of sharp objects and chemical exposure causing laceration, 
      perforation and tissue losses in the brain. The bBI is quite prevalent in 
      military personnel during combat operations. However, no suitable therapeutic 
      strategies are available so far to minimize bBI pathology. Combat stress induces 
      profound cardiovascular and endocrine dysfunction leading to psychosomatic 
      disorders including diabetes mellitus (DM). This is still unclear whether brain 
      pathology in bBI could exacerbate in DM. In present review influence of DM on 
      pathophysiology of bBI is discussed based on our own investigations. In addition, 
      treatment with cerebrolysin (a multimodal drug comprising neurotrophic factors 
      and active peptide fragments) or H-290/51 (a chain-breaking antioxidant) using 
      nanowired delivery of for superior neuroprotection on brain pathology in bBI in 
      DM is explored. Our observations are the first to show that pathophysiology of 
      bBI is exacerbated in DM and TiO(2)-nanowired delivery of cerebrolysin induces 
      profound neuroprotection in bBI in DM, not reported earlier. The clinical 
      significance of our findings with regard to military medicine is discussed.",10.1016/bs.pbr.2020.09.004,chapter,PubMed,"Muresanu, Dafin F","Sharma, Aruna","Sahib, Seaab","Tian, Z Ryan","Feng, Lianyuan","Castellani, Rudy J","Nozari, Ala","Lafuente, José Vicente","Buzoianu, Anca D","Sjöquist, Per-Ove","Patnaik, Ranjana","Wiklund, Lars","Sharma, Hari Shanker",,,,,,,,,,,,,,,,,
Marine drugs,2022,"An Octopus-Derived Peptide with Antidiuretic Activity in Rats.
","Discovering new drug candidates with high efficacy and few side effects is a 
      major challenge in new drug development. The two evolutionarily related peptides 
      oxytocin (OXT) and arginine vasopressin (AVP) are known to be associated with a 
      variety of physiological and psychological processes via the association of OXT 
      with three types of AVP receptors. Over decades, many synthetic analogs of these 
      peptides have been designed and tested for therapeutic applications; however, 
      only a few studies of their natural analogs have been performed. In this study, 
      we investigated the bioactivity and usefulness of two natural OXT/AVP analogs 
      that originate from the marine invertebrate Octopus vulgaris, named octopressin 
      (OTP) and cephalotocin (CPT). By measuring the intracellular Ca(2+) or cyclic AMP 
      increase in each OXT/AVP receptor subtype-overexpressing cell, we found that CPT, 
      but not OTP, acts as a selective agonist of human AVP type 1b and 2 receptors. 
      This behavior is reminiscent of desmopressin, the most widely prescribed 
      antidiuretic drug in the world. Similar to the case for desmopressin, a single 
      intravenous tail injection of CPT into Sprague-Dawley rats reduced urine output 
      and increased urinary osmolality. In conclusion, we suggest that CPT has a 
      significant antidiuretic effect and that CPT might be beneficial for treating 
      urological conditions such as nocturia, enuresis, and diabetes insipidus.",10.3390/md20050328 ,article,PubMed,"Kim, Ye-Ji","Lee, Jei Ha","Jung, Seung-Hyun","Kim, Ki Hyun","Choi, Chang-Hoon","Jo, Seonmi","Woo, Dong Ho",,,,,,,,,,,,,,,,,,,,,,,
Protein and peptide letters,2019,Therapeutic Perspectives of Food Bioactive Peptides: A Mini Review.,"Bioactive peptides are short chain of amino acids (usually 2-20) that are linked 
      by amide bond in a specific sequence which have some biological effects in 
      animals or humans. These can be of diverse origin like plant, animal, fish, 
      microbe, marine organism or even synthetic. They are successfully used in the 
      management of many diseases. In recent years increased attention has been raised 
      for its effects and mechanism of action in various disease conditions like 
      cancer, immunity, cardiovascular disease, hypertension, inflammation, diabetes, 
      microbial infections etc. Bioactive peptides are more bioavailable and less 
      allergenic when compared to total proteins. Food derived bioactive peptides have 
      health benefits and its demand has increased tremendously over the past decade. 
      This review gives a view on last two years research on potential bioactive 
      peptides derived from food which have significant therapeutic effects.",10.2174/0929866526666190617092140 ,review,PubMed,"Priya, Sulochana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food & function,2023,"Preparation, identification, activity prediction, and protective effects on 
      IR-HepG2 cells of five novel DPP-IV inhibitory peptides from protein hydrolysate 
      of skipjack tuna dark muscles.","To produce peptides with high dipeptidyl peptidase IV (DPP-IV) inhibitory 
      activity, neutrase was selected from five proteases (trypsin, neutrase, pepsin, 
      alcalase and flavor protease) with the highest degree of hydrolysis (DH) (18.23 ± 
      1.08%) and DPP-IV inhibitory rate (53.35 ± 4.02%) to produce protein hydrolysate 
      (NPH) from the dark muscles of skipjack tuna (Katsuwonus pelamis). Then, NPH-1 
      was isolated from NPH by gel permeation chromatography and found to possess the 
      highest DPP-IV inhibitory rate (65.12 ± 7.94% at 0.5 mg ml(-1)) in the separated 
      components (including NPH-1, NPH-2, NPH-3 and NPH-4). Subsequently, the available 
      prediction models of tripeptides and tetrapeptides with the DPP-IV inhibitory 
      rate were established using an artificial neural network (ANN). The RMSE (0.56 
      and 0.33 for the model established through collected tripeptides and 
      tetrapeptides, respectively) and R(2) (0.95 and 0.99 for the model established 
      through collected tripeptides and tetrapeptides, respectively) of the ANN model's 
      parameters were within acceptable limits, indicating that this model is 
      available. Next, the ANN model was applied to predict tripeptides and 
      tetrapeptides from the hydrolysate of skipjack tuna dark muscles, and five 
      peptides (Ala-Pro-Pro (APP), Pro-Pro-Pro (PPP), Asp-Pro-Leu-Leu (DPLL), 
      Glu-Ala-Val-Pro (EAVP) and Glu-Ala-Iie-Pro (EAIP)) possessing a noticeable DPP-IV 
      inhibitory rate (with DPP-IV IC(50) values of 42.46 ± 5.02, 37.71 ± 9.17, 58.85 ± 
      14.42, 49.94 ± 6.69 and 57.15 ± 6.13 μM, respectively) were screened from the 
      protein hydrolysate. The above five peptides were proved to effectively promote 
      glucose consumption in the insulin resistant-HepG2 (IR-HepG2) cell model 
      considering that the glucose consumption rates of APP, PPP, DPLL, EAVP and EAIP 
      treatment groups are all more than twice that of the dexamethasone group. 
      Accordingly, mechanistic studies showed that these peptides interacted with 
      PI3K/AKT and AMPK signaling pathways and promoted the phosphorylation of PI3K 
      p110, AKT and AMPK (the protein expressions of PI3K p110, p-AKT and p-AMPK in 
      APP, PPP, DPLL, EAVP and EAIP treatment groups are 1.64-2.22 fold compared with 
      that in the dexamethasone group), thereby enhancing glucose uptake and further 
      alleviating insulin resistance. These findings demonstrated that skipjack tuna 
      dark muscle is a potential DPP-IV inhibitory peptide source, and five DPP-IV 
      inhibitory peptides from its hydrolysate may exert potent anti-diabetic activity. 
      In comparison, PPP may be the most potential active ingredient for healthy food 
      against type 2 diabetes mellitus in the five screened peptides considering 
      synthetically the DPP-IV inhibitory rate, bioavailability and synthesis cost.",10.1039/d3fo02948d ,article,PubMed,"Meng, Lingting","Song, Yan","Zheng, Bin","Zhao, Yadong","Hong, Bingyuan","Ma, Mingzhu","Wen, Zhengshun","Miao, Wenhua","Xu, Yan",,,,,,,,,,,,,,,,,,,,,
Foods,2022,"Fucoidan from Laminaria japonica Ameliorates Type 2 Diabetes Mellitus in 
      Association with Modulation of Gut Microbiota and Metabolites in 
      Streptozocin-Treated Mice.
","Chronic diseases have been a leading cause of death worldwide, and polysaccharide 
      supplementation is an effective therapeutic strategy for chronic diseases without 
      adverse effects. In this study, the beneficial effect of Laminaria japonica 
      fucoidan (LJF) on type 2 diabetes mellitus (T2DM) was evaluated in 
      streptozocin-treated mice. LJF ameliorated the symptoms of T2DM in a 
      dose-dependent manner, involving reduction in weight loss, water intake, 
      triglyceride, blood glucose, cholesterol and free fatty acids, and increases in 
      high-density lipoprotein cholesterol, catalase, glucagon-like peptide-1, and 
      superoxide dismutase. In addition, LJF regulated the balance between insulin 
      resistance and insulin sensitivity, reduced islet necrosis and β-cell damage, and 
      inhibited fat accumulation in T2DM mice. The protective effect of LJF on T2DM can 
      be associated with modulation of the gut microbiota and metabolites, e.g., 
      increases in Lactobacillus and Allobaculum. Untargeted and targeted metabolomics 
      analysis showed that the microbiota metabolite profile was changed with 
      LJF-induced microbiota alterations, mainly involving amino acids, glutathione, 
      and glyoxylate and dicarboxylate metabolism pathways. This study indicates that 
      LJF can be used as a prebiotic agent for the prevention and treatment of diabetes 
      and microbiota-related diseases.",10.3390/foods12010033 ,article,PubMed,"Zhang, Chenxi","Jia, Jinhui","Zhang, Panpan","Zheng, Weiyun","Guo, Xiaoming","Ai, Chunqing","Song, Shuang",,,,,,,,,,,,,,,,,,,,,,,
Yakugaku zasshi : journal of the pharmaceutical society of japan,2019,"[Search for Protein Tyrosine Phosphatase 1B Inhibitors from Marine Organisms and 
      Induced Production of New Fungal Metabolites by Modulating Culture Methods].","Marine environments offer a rich source of natural products with potential 
      therapeutic applications because the ocean covers 70% of the earth's surface and 
      approximately 80% of all living organisms live in the sea. Therefore we have 
      investigated bioactive compounds from marine organisms such as marine sponges, 
      ascidians, and marine-derived microorganisms. This review consists of two topics 
      based on marine natural product chemistry. (1) Protein tyrosine phosphatase (PTP) 
      1B plays a key role as a negative regulator in the insulin and leptin signaling 
      pathways. Accordingly, the development of PTP1B inhibitors is expected to provide 
      new drugs for type 2 diabetes and obesity. We have been searching for new types 
      of PTP1B inhibitors among marine organisms and identified various PTP1B 
      inhibitors from marine sponges and fungi. This review presents their structural 
      diversities and unique biological properties. (2) In the course of our studies on 
      the induced production of new fungal metabolites, the Palauan marine-derived 
      fungus, Trichoderma cf. brevicompactum TPU199, was found to produce the unusual 
      epipolythiodiketopiperazines, gliovirin and pretrichodermamide A. Long-term 
      static fermentation of the strain induced production of a new dipeptide, 
      dithioaspergillazine A, whereas fermentation of the strain with NaCl, NaBr, and 
      NaI produced the Cl and Br derivatives of pretrichodermamide A and a new 
      iodinated derivative, iododithiobrevamide, respectively. Moreover, DMSO-added 
      seawater medium induced the production of diketopiperazine with the unprecedented 
      trithio-bridge, chlorotrithiobrevamide. This fermentation study on the strain as 
      well as the structures of the metabolites obtained are described in this review.",10.1248/yakushi.18-00221 ,review,PubMed,"Yamazaki, Hiroyuki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acs applied materials & interfaces,2022,"Targeted Polymeric Nanoparticles Based on Mangiferin for Enhanced Protection of 
      Pancreatic β-Cells and Type 1 Diabetes Mellitus Efficacy.","Mangiferin (MGF) is found in many natural plants, such as Rhizoma Anemarrhenae, 
      and has anti-diabetes effects. However, its clinical applications and development 
      are limited by poor solubility and low-concentration enrichment in pancreatic 
      islets. In this paper, targeted polymeric nanoparticles were constructed for MGF 
      delivery with the desired drug loading content (6.86 ± 0.60%), excellent blood 
      circulation, and missile-like delivery to the pancreas. Briefly, Glucagon-like 
      peptide 1 (GLP-1) as an active targeting agent to the pancreas was immobilized on 
      the block copolymer polyethyleneglycol-polycaprolactone (PEG-PCL) to obtain final 
      GLP-1-PEG-PCL amphiphiles. Spherical MGF-loaded polymeric nanoparticles were 
      acquired from the self-assembly of the targeted GDPP nanoparticles and MGF with a 
      homogeneous size of 158.9 ± 1.7 nm and a negative potential for a good steady 
      state in circulation. In this drug vehicle, GLP-1 acts as the missile vanguard 
      via the GLP-1 receptor on the surface of the pancreas for improving the 
      accumulation and efficiency of MGF in the pancreas, the hypoglycemic effect of 
      MGF, and the restorative effect on pancreatic islets, which were investigated. As 
      compared to free MGF, MGF/GDPP nanoparticles appeared to be more concentrated in 
      the pancreas, with better blood glucose and glucose tolerance, enhanced insulin 
      levels, increased β-cell proliferation, reduced β-cell apoptosis, and islet 
      repair in vivo. This targeted drug delivery system provided a novel strategy and 
      hope for enhancing MGF delivery and anti-diabetes efficacy.",10.1021/acsami.1c22964 ,article,PubMed,"Wang, Mengdi","Zhang, Zhuoran","Huo, Qingqing","Wang, Maolong","Sun, Yong","Liu, Hongling","Chang, Jing","He, Bin","Liang, Yan",,,,,,,,,,,,,,,,,,,,,
Marine drugs,2020,"Tilapia Skin Peptides Ameliorate Diabetic Nephropathy in STZ-Induced Diabetic 
      Rats and HG-Induced GMCs by Improving Mitochondrial Dysfunction.
","Diabetic nephropathy (DN) is one of the major microvascular complications of 
      diabetes, and mitochondrial dysfunction has been observed in the kidneys of 
      diabetic patients. Tilapia skin peptides (TSPs) are mixtures of 
      small-molecular-weight peptides derived from tilapia skin. Rising evidence 
      suggests that bioactive peptides from marine sources are beneficial for DN. This 
      study aimed to investigate whether TSPs can alleviate the pathological progress 
      in experimental DN by improving mitochondrial dysfunction through the activation 
      of Bnip3/Nix signaling. In the current study, TSPs treatment alleviated the 
      metabolic parameters and renal morphology in streptozotocin-induced diabetic 
      rats. Additionally, TSPs treatment significantly activated Bnip3/Nix signaling 
      and improved the mitochondrial morphology, reversed the over-production of 
      mitochondrial superoxide and cellular reactive oxygen species and the decreased 
      mitochondrial membrane potential, thereby inhibiting the expressions of 
      fibronectin, collagen IV and intercellular cell adhesion molecule-1 in glomerular 
      mesangial cells induced by high glucose. Collectively, our results suggest that 
      TSPs show the renoprotective effect on DN by improving mitochondrial dysfunction, 
      and they can be a potential therapeutic strategy for DN.",10.3390/md18070363 ,article,PubMed,"Jin, Lin","Zheng, Dongxiao","Yang, Guanyu","Li, Wei","Yang, Huan","Jiang, Qian","Chen, Yongjun","Zhang, Yingxia","Xie, Xi",,,,,,,,,,,,,,,,,,,,,
Biomedical and environmental sciences : bes,2010,"Effect of marine collagen peptides on markers of metabolic nuclear receptors in 
      type 2 diabetic patients with/without hypertension.","OBJECTIVE: To explore Effects of marine collagen peptides (MCPs) on markers of 
      metablic nuclear receptors, i.e peroxisome proliferator-activated receptor 
      (PPARs), liver X receptor (LXRs) and farnesoid X receptor (FXRs) in type 2 
      diabetic patients with/without hypertension. METHOD Study population consisted of 
      200 type 2 diabetic patients with/without hypertension and 50 healthy subjects, 
      all of whom were randomly assigned to MCPs-treated diabetics (n = 50), 
      placebo-treated diabetics (n = 50), MCPs-treated diabetics with hypertension 
      (n=50), placebo-treated diabetics with hypertension (n = 50), and healthy 
      controls (n = 50). MCPs or placebo (water-soluble starch) were given daily before 
      breakfast and bedtime over three months. Levels of free fatty acid, cytochrome 
      P450, leptin, resistin, adiponectin, bradykinin, NO, and Prostacyclin were 
      determined before intervention, and 1.5 months, and 3 months after intervention. 
      Hypoglycemia and the endpoint events during the study were recorded and compared 
      among the study groups. RESULT: At the end of the study period, MCPs-treated 
      patients showed marked improvement compared with patients receiving placebo. The 
      protection exerted by MCPs seemed more profound in diabetics than in diabetics 
      with hypertension. In particular, after MCPs intervention, levels of free fatty 
      acid, hs-CRP, resistin, Prostacyclin decreased significantly in diabetics and 
      tended to decrease in diabetic and hypertensive patients whereas levels of 
      cytochrome P450, leptin, NO tended to decrease in diabetics with/without 
      hypertension. Meanwhile, levels of adiponectin and bradykinin rose markedly in 
      diabetics following MCPs administration. CONCLUSION: MCPs could offer protection 
      against diabetes and hypertension by affecting levels of molecules involved in 
      diabetic and hypertensive pathogenesis. Regulation on metabolic nuclear receptors 
      by MCPs may be the possible underlying mechanism for its observed effects in the 
      study. Further study into its action may shed light on development of new drugs 
      based on bioactive peptides from marine sources.",10.1016/S0895-3988(10)60040-2 ,article,PubMed,"Zhu, Cui-Feng","Li, Guan-Zhi","Peng, Hong-Bin","Zhang, Fan","Chen, Yun","Li, Yong",,,,,,,,,,,,,,,,,,,,,,,,
Biochemical pharmacology,2024,"Interactions between glucagon like peptide 1 (GLP-1) and estrogens regulates 
      lipid metabolism.","Obesity, characterized by excessive fat accumulation in white adipose tissue 
      (WAT), is linked to numerous health issues, including insulin resistance (IR), 
      and type 2 diabetes mellitus (DM2). The distribution of adipose tissue differs by 
      sex, with men typically exhibiting android adiposity and pre-menopausal women 
      displaying gynecoid adiposity. After menopause, women have an increased risk of 
      developing android-type obesity, IR, and DM2. Glucagon-like peptide 1 (GLP-1) 
      receptor agonists (GLP-1RAs) are important in treating obesity and DM2 by 
      regulating insulin secretion, impacting glucose and lipid metabolism. GLP-1Rs are 
      found in various tissues including the pancreas, brain, and adipose tissue. 
      Studies suggest GLP-1RAs and estrogen replacement therapies have similar effects 
      on tissues like the liver, central nervous system, and WAT, probably by 
      converging pathways involving protein kinases. To investigate these interactions, 
      female rats underwent ovariectomy (OVR) to promote a state of estrogen 
      deficiency. After 20 days, the rats were euthanized and the tissues were 
      incubated with 10 μM of liraglutide, a GLP-1RA. Results showed significant 
      changes in metabolic parameters: OVR increased lipid catabolism in perirenal WAT 
      and basal lipolysis in subcutaneous WAT, while liraglutide treatment enhanced 
      stimulated lipolysis in subcutaneous WAT. Liver responses included increased 
      stimulated lipolysis with liraglutide. Transcriptome analysis revealed distinct 
      gene expression patterns in WAT of OVR rats and those treated with GLP-1RA, 
      highlighting pathways related to lipid and glucose metabolism. Functional 
      enrichment analysis showed estrogen's pivotal role in these pathways, influencing 
      genes involved in lipid metabolism regulation. Overall, the study underscores 
      GLP-1RA acting directly on adipose tissues and highlights the complex 
      interactions between GLP-1 and estrogen in regulating metabolism, suggesting 
      potential synergistic therapeutic effects in treating metabolic disorders like 
      obesity and DM2.",10.1016/j.bcp.2024.116623. ,chapter,PubMed,"Model, Jorge F A","Normann, Rafaella S","Vogt, Éverton L","Dentz, Maiza Von","de Amaral, Marjoriane","Xu, Rui","Bachvaroff, Tsvetan","Spritzer, Poli Mara","Chung, J Sook","Vinagre, Anapaula S",,,,,,,,,,,,,,,,,,,,
International journal of molecular sciences,2019,"Discovery of Food-Derived Dipeptidyl Peptidase IV Inhibitory Peptides: A Review.
","Diabetes is a chronic metabolic disorder which leads to high blood sugar levels 
      over a prolonged period. Type 2 diabetes mellitus (T2DM) is the most common form 
      of diabetes and results from the body's ineffective use of insulin. Over ten 
      dipeptidyl peptidase IV (DPP-IV) inhibitory drugs have been developed and 
      marketed around the world in the past decade. However, owing to the reported 
      adverse effects of the synthetic DPP-IV inhibitors, attempts have been made to 
      find DPP-IV inhibitors from natural sources. Food-derived components, such as 
      protein hydrolysates (peptides), have been suggested as potential DPP-IV 
      inhibitors which can help manage blood glucose levels. This review focuses on the 
      methods of discovery of food-derived DPP-IV inhibitory peptides, including 
      fractionation and purification approaches, in silico analysis methods, in vivo 
      studies, and the bioavailability of these food-derived peptides. Moreover, 
      food-derived DPP-IV inhibitory peptides discovered during this decade are listed 
      and distributed in a 3D scatter plot graph based on their IC(50), molecular 
      weight, and grand average of hydropathicity values, which can help us to 
      understand the relationship between the features of the peptides and their 
      activities.",10.3390/ijms20030463 ,review,PubMed,"Liu, Rui","Cheng, Jianming","Wu, Hao",,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced science,2023,"Helical-Like Assembly of Nateglinide as Coating for Oral Delivery of Insulin and 
      Their Synergistic Prevention of Diabetes Mellitus.","Oral delivery of antidiabetic active components promises to free millions of 
      people from daily suffering who require routine injections. However, oral insulin 
      (Ins) and other short-acting compounds such as nateglinide (NG) in harsh 
      gastrointestinal tract still face great challenging, including low 
      bioavailability, and rapid elimination. In this study, inspired by the 
      self-assembly of phenylalanine-based peptides in nature, it is showed that NG a 
      small phenylalanine derivative, assembles into left-handed helical nanofibers in 
      the presence of Ca(2+) . These helical NG nanofibers functioned as a coating 
      layer on the surface of Ca(2+) -linked alginate (Alg) microgels for the effective 
      encapsulation of Ins. As expected, the sustained release and prolonged 
      circulation of Ins and NG from the Ins-loading Alg/NG microgels (Ins@Alg/NG) in 
      the intestinal tract synergistically maintain a relatively normal blood glucose 
      level in streptozotocin-induced diabetic mice after oral administration of 
      Ins@Alg/NG. This further confirms that Ins@Alg/NG ameliorated Ins resistance 
      mainly through activating Insreceptor substrate 1 (IRS1), protein kinase B (AKT), 
      and AMP-activated protein kinase (AMPK), as well as by repressing glycogen 
      synthase kinase-3β (GSK-3β). The strategy of using the assembly of NG as a 
      coating achieves the oral delivery of insulin and showcases a potential for the 
      treatment of diabetes.",10.1002/advs.202301879 ,article,PubMed,"Li, Yanfei","Chen, Lihang","Xu, Yu","Li, Sihui","Yan, Huijia","Chen, Tao","Hua, Ziqi","Wu, Di","Zhao, Runan","Hu, Jiangning",,,,,,,,,,,,,,,,,,,,
Food & function,2024,"Egg white-derived peptides reduced blood glucose in high-fat-diet and low-dose 
      streptozotocin-induced type 2 diabetic mice via regulating the hepatic 
      gluconeogenic signaling and metabolic profile.","Food proteins are considered an ideal source for the identification of bioactive 
      peptides with the potential to intervene in nutrition-related chronic diseases 
      such as cardiovascular disease, obesity, and diabetes. Egg white-derived peptides 
      (EWPs) have been shown to improve glucose tolerance in insulin-resistant rats. 
      However, underlying mechanisms are to be elucidated. Therefore, we hypothesized 
      that EWP exerts a hypoglycemic effect by regulating hepatic glucose homeostasis. 
      Our results showed that 7 weeks of EWP treatment reduced the fasting blood 
      glucose in T2DM mice and the inhibition of the liver gluconeogenic pathway was 
      involved in the mechanisms of actions. Using the untargeted metabolomics 
      technique, we found that EWP treatment also altered the hepatic metabolic profile 
      in T2DM mice, in which, the role of fatty acid esters of hydroxy fatty acids in 
      mediating the hypoglycemic effect of EWPs might be pivotal.",10.1039/d4fo00725e ,article,PubMed,"Cao, Xinyi","Chen, Liang","Lu, Kun","Yu, Tingqing","Xia, Hui","Wang, Shaokang","Sun, Guiju","Liu, Ping","Liao, Wang",,,,,,,,,,,,,,,,,,,,,
Advances in food and nutrition research,2020,"Aquaculture and by-products: Challenges and opportunities in the use of 
      alternative protein sources and bioactive compounds.","There is a growing concern about chronic diseases such as obesity, diabetes, 
      hypertension, hypercholesterolemia, cancer and cardiovascular diseases resulting 
      from profound changes in the western lifestyle. Aquaculture by-products are 
      generated in large quantities and they can be profitably recycled through their 
      bioactive compounds used for health or food supplements. Improving waste 
      utilization in the field of aquaculture is essential for a sustainable industry 
      to prevent or minimize the environmental impact. In this sense fish by-products 
      are a great source of protein and omega-3 polyunsaturated fatty acids which are 
      particularly studied on Atlantic salmon or rainbow trout. Fish protein 
      hydrolysate (FPH) obtained from chemical, enzymatical and microbial hydrolysis of 
      processing by-products are being used as a source of amino acids and peptides 
      with high digestibility, fast absorption and important biological activities. 
      Omega-3 polyunsaturated fatty acids, eicosapentaenoic (EPA) and docosahexaenoic 
      (DHA) from fish discards have been reported to decrease postprandial 
      triacylglycerol levels, reduction of blood pressure, platelet aggregation and the 
      inflammatory response. Crustacean by-products can also be used to produce 
      chitosan with antioxidant and antimicrobial activity for food and pharmaceutical 
      industries and carotenoids with important biological activity. Seaweeds are rich 
      in bioactive compounds such as alginate, carrageenan, agar, carotenoids and 
      polyphenols with different biological activities such as antioxidant, anticancer, 
      antidiabetic, antimicrobial or anti-inflammatory activity. Finally, regarding 
      harvest microalgae, during the past decades, they were mainly used in the healthy 
      food market, with >75% of the annual microalgal biomass production, used for the 
      manufacture of powders, tablets, capsules or pills. We will report and discuss 
      the present and future role of aquaculture by-products as sources of biomolecules 
      for the design and development of functional foods/beverages. This chapter will 
      focus on the main bioactive compounds from aquaculture by-products as functional 
      compounds in food and their applications in biomedicine for the prevention and 
      treatment of diseases.",10.1016/bs.afnr.2019.11.001,chapter,PubMed,"López-Pedrouso, María","Lorenzo, José M","Cantalapiedra, Jesús","Zapata, Carlos","Franco, José M","Franco, Daniel",,,,,,,,,,,,,,,,,,,,,,,,
