Journal,Year,Title,Abstract,DOI,DOI_2,PubMed ID,Author full names,Afiliations,Publication Type,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Review/Article,word_count,text_before_doi,doi_value,Extracted_DOI,Final_DOI,Data_Set
Current protein & peptide science,2013,Marine peptides for preventing metabolic syndrome.,"Recently, there has been a growing in alternative prevents and therapies of 
      marine organisms for metabolic syndrome. Marine-derived bioactive peptides 
      attracted extensive interest due to their numerous health beneficial effects 
      including antioxidant, antihypertensive, anti-diabetes, anti-obesity. The 
      bioactive peptides may provide novel therapeutic applications for the prevention 
      of metabolic syndrome. The facts summarized here may provide improvement of 
      metabolic syndrome by peptides from marine organisms. However, further insightful 
      researches on the prevention of metabolic syndrome by marine peptides in in vivo 
      and clinical studies are needed to firmly establish their therapeutic potency.",,Curr Protein Pept Sci. 2013 May;14(3):183-8. doi: 10.2174/13892037113149990038.,23721312,"['Ko, Seok-Chun', 'Jeon, You-Jin']","['Department of Marine Life Science, Jeju National University, Jeju 690-756, ']","['Journal Article', 'Review']","Ko, Seok-Chun","Jeon, You-Jin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,review,91,,,10.2174/13892037113149990038,10.2174/13892037113149990038,PubMed
Food & function,2024,"Egg white-derived peptides reduced blood glucose in high-fat-diet and low-dose 
      streptozotocin-induced type 2 diabetic mice via regulating the hepatic 
      gluconeogenic signaling and metabolic profile.","Food proteins are considered an ideal source for the identification of bioactive 
      peptides with the potential to intervene in nutrition-related chronic diseases 
      such as cardiovascular disease, obesity, and diabetes. Egg white-derived peptides 
      (EWPs) have been shown to improve glucose tolerance in insulin-resistant rats. 
      However, underlying mechanisms are to be elucidated. Therefore, we hypothesized 
      that EWP exerts a hypoglycemic effect by regulating hepatic glucose homeostasis. 
      Our results showed that 7 weeks of EWP treatment reduced the fasting blood 
      glucose in T2DM mice and the inhibition of the liver gluconeogenic pathway was 
      involved in the mechanisms of actions. Using the untargeted metabolomics 
      technique, we found that EWP treatment also altered the hepatic metabolic profile 
      in T2DM mice, in which, the role of fatty acid esters of hydroxy fatty acids in 
      mediating the hypoglycemic effect of EWPs might be pivotal.",10.1039/d4fo00725e [doi],Food Funct. 2024 Jul 1;15(13):7003-7016. doi: 10.1039/d4fo00725e.,38855929,"['Cao, Xinyi', 'Chen, Liang', 'Lu, Kun', 'Yu, Tingqing', 'Xia, Hui', 'Wang, Shaokang', 'Sun, Guiju', 'Liu, Ping', 'Liao, Wang']","['Key Laboratory of Environmental Medicine and Engineering of Ministry of ', 'Public Service Platform of South China Sea for R&D Marine Biomedicine Resources, ', 'Key Laboratory of Environmental Medicine and Engineering of Ministry of ', 'Key Laboratory of Environmental Medicine and Engineering of Ministry of ', 'Key Laboratory of Environmental Medicine and Engineering of Ministry of ', 'Key Laboratory of Environmental Medicine and Engineering of Ministry of ', 'Key Laboratory of Environmental Medicine and Engineering of Ministry of ', 'Department of Food Science and Technology, Jiangsu Agri-Animal Husbandry ', 'Key Laboratory of Environmental Medicine and Engineering of Ministry of ']",['Journal Article'],"Cao, Xinyi","Chen, Liang","Lu, Kun","Yu, Tingqing","Xia, Hui","Wang, Shaokang","Sun, Guiju","Liu, Ping","Liao, Wang",,,,,,,,,,,,,,,,,,,,,,article,137,,10.1039/d4fo00725e ,10.1039/d4fo00725e,10.1039/d4fo00725e ,PubMed
Metabolism: clinical and experimental,1989,"Dose-response effects of dietary marine oil on carbohydrate and lipid metabolism 
      in normal subjects and patients with hypertriglyceridemia.","Recent studies indicate that marine (omega-3) fatty acids decrease 
      hypertriglyceridemia but worsen hyperglycemia in diabetes. We studied 
      dose-response relationships between omega-3 intake and indices of carbohydrate 
      and lipid metabolism in 21 hypertriglyceridemic patients with (n = 6) or without 
      (n = 15) diabetes, and 6 normal volunteers. All subjects consumed isocaloric 
      diets of 65% carbohydrate, 20% fat, and 15% protein. The basal diet contained 15% 
      of total calories as vegetable oil (omega-6), and the test diets included 15%, 
      7.5%, or 3.75% calories as fish oil (MaxEPA). After three months of the basal 
      diet, patients were randomized to receive two 3-month omega-3 diets in the 
      following sequences: 15%/7.5%, 7.5%/15%, 7.5%/3.75%, or 3.75%/7.5%. Both 15% and 
      7.5% diets, regardless of sequence, significantly decreased serum triglycerides 
      but increased low-density lipoprotein (LDL)-cholesterol levels as much as 98% and 
      LDL/high-density lipoprotein (HDL)-cholesterol ratio as much as 1.6-fold. Daily 
      insulin requirements of three diabetic patients increased progressively while 
      they received an omega-3-enriched diet for up to 2 years. In healthy controls, 
      favourable changes induced by an omega-3 fatty acid diet in serum lipids and 
      lipoproteins were associated with a tendency toward an inhibition of C-peptide 
      secretion following a meal challenge. We conclude that substitution of 
      commercially available omega-3 for omega-6 fatty acids improves 
      hypertriglyceridemia but may worsen other lipoproteins indices and may increase 
      insulin requirements in diabetic hypertriglyceridemic subjects.",,Metabolism. 1989 Oct;38(10):946-56. doi: 10.1016/0026-0495(89)90004-8.,2677610,"['Stacpoole, P W', 'Alig, J', 'Ammon, L', 'Crockett, S E']","['Department of Medicine, University of Florida College of Medicine, Gainesville ']","['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]","Stacpoole, P W","Alig, J","Ammon, L","Crockett, S E",,,,,,,,,,,,,,,,,,,,,,,,,,,article,223,,,10.1016/0026-0495(89)90004-8,10.1016/0026-0495(89)90004-8,PubMed
Advances in food and nutrition research,2020,"Aquaculture and by-products: Challenges and opportunities in the use of 
      alternative protein sources and bioactive compounds.","There is a growing concern about chronic diseases such as obesity, diabetes, 
      hypertension, hypercholesterolemia, cancer and cardiovascular diseases resulting 
      from profound changes in the western lifestyle. Aquaculture by-products are 
      generated in large quantities and they can be profitably recycled through their 
      bioactive compounds used for health or food supplements. Improving waste 
      utilization in the field of aquaculture is essential for a sustainable industry 
      to prevent or minimize the environmental impact. In this sense fish by-products 
      are a great source of protein and omega-3 polyunsaturated fatty acids which are 
      particularly studied on Atlantic salmon or rainbow trout. Fish protein 
      hydrolysate (FPH) obtained from chemical, enzymatical and microbial hydrolysis of 
      processing by-products are being used as a source of amino acids and peptides 
      with high digestibility, fast absorption and important biological activities. 
      Omega-3 polyunsaturated fatty acids, eicosapentaenoic (EPA) and docosahexaenoic 
      (DHA) from fish discards have been reported to decrease postprandial 
      triacylglycerol levels, reduction of blood pressure, platelet aggregation and the 
      inflammatory response. Crustacean by-products can also be used to produce 
      chitosan with antioxidant and antimicrobial activity for food and pharmaceutical 
      industries and carotenoids with important biological activity. Seaweeds are rich 
      in bioactive compounds such as alginate, carrageenan, agar, carotenoids and 
      polyphenols with different biological activities such as antioxidant, anticancer, 
      antidiabetic, antimicrobial or anti-inflammatory activity. Finally, regarding 
      harvest microalgae, during the past decades, they were mainly used in the healthy 
      food market, with >75% of the annual microalgal biomass production, used for the 
      manufacture of powders, tablets, capsules or pills. We will report and discuss 
      the present and future role of aquaculture by-products as sources of biomolecules 
      for the design and development of functional foods/beverages. This chapter will 
      focus on the main bioactive compounds from aquaculture by-products as functional 
      compounds in food and their applications in biomedicine for the prevention and 
      treatment of diseases.",S1043-4526(19)30079-8 [pii],Adv Food Nutr Res. 2020;92:127-185. doi: 10.1016/bs.afnr.2019.11.001. Epub 2019 ,32402443,"['López-Pedrouso, María', 'Lorenzo, José M', 'Cantalapiedra, Jesús', 'Zapata, Carlos', 'Franco, José M', 'Franco, Daniel']","['Department of Zoology, Genetics and Physical Anthropology, University of Santiago ', 'Centro Tecnológico de la Carne de Galicia, Parque Tecnológico de Galicia, ', 'Farm Counselling Services, Consellería do Medio Rural, Xunta de Galicia, Lugo, ', 'Department of Zoology, Genetics and Physical Anthropology, University of Santiago ', 'Institute of Marine Research (IIM-CSIC), Vigo, Spain.', 'Centro Tecnológico de la Carne de Galicia, Parque Tecnológico de Galicia, ']",['Journal Article'],"López-Pedrouso, María","Lorenzo, José M","Cantalapiedra, Jesús","Zapata, Carlos","Franco, José M","Franco, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,Chapter,301,S1043-4526(19)30079-8 [pii],,10.1016/bs.afnr.2019.11.001,10.1016/bs.afnr.2019.11.001,PubMed
"Foods (Basel, Switzerland)",2023,"Isolation of a Novel Anti-Diabetic α-Glucosidase Oligo-Peptide Inhibitor from 
      Fermented Rice Bran.
","At present, the incidence rate of diabetes is increasing gradually, and 
      inhibiting α-glucosidase is one of the effective methods used to control blood 
      sugar. This study identified new peptides from rice bran fermentation broth and 
      evaluated their inhibitory activity and mechanism against α-glucosidase. Rice 
      bran was fermented with Bacillus subtilis MK15 and the polypeptides of <3 kDa 
      were isolated by ultrafiltration and chromatographic column, and were then 
      subjected to LC-MS/MS mass spectrometry analysis. The results revealed that the 
      oligopeptide GLLGY showed the greatest inhibitory activity in vitro. Docking 
      studies with GLLGY on human α-glucosidase (PDB ID 5NN8) suggested a binding 
      energy of −7.1 kcal/mol. GLLGY acts as a non-competitive inhibitor and forms five 
      hydrogen bonds with Asp282, Ser523, Asp616, and His674 of α-glucosidase. 
      Moreover, it retained its inhibitory activity even in a simulated digestion 
      environment in vitro. The oligopeptide GLLGY could be developed into a potential 
      anti-diabetic agent.",10.3390/foods12010183 [doi],Foods. 2023 Jan 1;12(1):183. doi: 10.3390/foods12010183.,36613397,"['Hu, Jingfei', 'Lai, Xiaohua', 'Wu, Xudong', 'Wang, Huanyu', 'Weng, Nanhai', 'Lu, Jing', 'Lyu, Mingsheng', 'Wang, Shujun']","['Jiangsu Key Laboratory of Marine Bioresources and Environment/Jiangsu Key ', 'Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean ', 'Jiangsu Key Laboratory of Marine Bioresources and Environment/Jiangsu Key ', 'Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean ', 'Jiangsu Key Laboratory of Marine Bioresources and Environment/Jiangsu Key ', 'Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean ', 'Jiangsu Key Laboratory of Marine Bioresources and Environment/Jiangsu Key ', 'Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean ', 'Jiangsu Key Laboratory of Marine Bioresources and Environment/Jiangsu Key ', 'Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean ', 'Jiangsu Key Laboratory of Marine Bioresources and Environment/Jiangsu Key ', 'Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean ', 'Jiangsu Key Laboratory of Marine Bioresources and Environment/Jiangsu Key ', 'Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean ', 'Jiangsu Key Laboratory of Marine Bioresources and Environment/Jiangsu Key ', 'Co-Innovation Center of Jiangsu Marine Bio-Industry Technology, Jiangsu Ocean ']",['Journal Article'],"Hu, Jingfei","Lai, Xiaohua","Wu, Xudong","Wang, Huanyu","Weng, Nanhai","Lu, Jing","Lyu, Mingsheng","Wang, Shujun",,,,,,,,,,,,,,,,,,,,,,,article,148,,10.3390/foods12010183 ,10.3390/foods12010183,10.3390/foods12010183 ,PubMed
"Nutrition (Burbank, Los Angeles County, Calif.)",2010,"Beneficial effects of oligopeptides from marine salmon skin in a rat model of 
      type 2 diabetes.","OBJECTIVE: This study aimed at investigating whether treatment with oligopeptides 
      from marine salmon skin (OMSS) could modulate type 2 diabetes mellitus 
      (T2DM)-related hyperglycemia and β-cell apoptosis in rats induced by high fat 
      diet and low doses of streptozotocin and its therapeutic mechanisms. METHODS: 
      Groups of T2DM rats were treated with OMSS or bovine serum albumin (3.0 g/kg/d) 
      for 4 wk and their blood samples, together with those of normal control rats, 
      were collected before and 4 wk after treatment. The levels of fasting blood 
      glucose (FBG) and insulin, serum superoxide dismutase (SOD), malondialdehyde 
      (MDA), and glutathione (GSH), tumor necrosis factor-alpha (TNFα), and 
      interferon-gamma (IFNγ) in rats were determined. The islet cell apoptosis and 
      Fas/FasL expression were detected by TUNEL and immunohistochemistry. RESULTS: In 
      comparison with control rats, higher levels of FBG and frequency of apoptotic 
      islet cells were detected in the bovine serum albumin group of diabetic rats, 
      accompanied by higher levels of Fas expression in the pancreatic islets, serum 
      TNFα, IFNγ, and MDA, but lower levels of SOD and GSH. However, the levels of FBG 
      and frequency of apoptotic islet cells were significantly reduced in OMSS-treated 
      rats. Lower levels of Fas expression were observed in the pancreatic islets of 
      OMSS-treated rats. Significantly reduced levels of serum TNFα, IFNγ, and MDA, but 
      increased levels of SOD and GSH, were detected in OMSS-treated rats. CONCLUSIONS: 
      Treatment with OMSS significantly reduced FBG in diabetic rats. This antidiabetic 
      activity may be mediated by down-regulating T2DM-related oxidative stress and 
      inflammation, protecting the pancreatic β-cells from apoptosis.",10.1016/j.nut.2010.01.011 [doi],Nutrition. 2010 Oct;26(10):1014-20. doi: 10.1016/j.nut.2010.01.011. Epub 2010 Jun ,20541363,"['Zhu, Cui-Feng', 'Peng, Hong-Bing', 'Liu, Gui-Qin', 'Zhang, Fan', 'Li, Yong']","['Department of Nutrition and Food Hygiene, School of Public Health, Peking ']","['Journal Article', ""Research Support, Non-U.S. Gov't""]","Zhu, Cui-Feng","Peng, Hong-Bing","Liu, Gui-Qin","Zhang, Fan","Li, Yong",,,,,,,,,,,,,,,,,,,,,,,,,,article,252,,10.1016/j.nut.2010.01.011 ,10.1016/j.nut.2010.01.011,10.1016/j.nut.2010.01.011 ,PubMed
Critical reviews in food science and nutrition,2025,"Comprehensive exploration of marine functional foods in modulation of metabolic 
      syndromes: a 20-year review.","Metabolic syndromes (MetS), a cluster of conditions threatening global health, 
      are a central focus of medical research. Bioactive compounds from marine sources, 
      including peptides, polysaccharides, and lipids, have shown promising biological 
      activities, such as antioxidant, anti-inflammatory, lipid-lowering, anti-obesity, 
      and insulin-sensitizing effects. These properties hold potential in combating 
      dyslipidemia, nonalcoholic steatohepatitis (NASH), cardiovascular diseases, and 
      diabetes. Present work seeks to review the advancements in research on marine 
      functional foods for treating metabolic disorders over the last 20 years. It 
      focuses on the diverse biological activities of marine-derived compounds, their 
      proposed mechanisms in modulating MetS, and their potential industrial 
      applications in nutraceuticals, pharmaceuticals, functional foods, and 
      cosmeceuticals. As the prevalence of MetS increases, current treatments face 
      challenges like side effects, limited efficacy, and high costs. Considering this, 
      marine functional foods offer a promising alternative due to their rich bioactive 
      compounds, which can target multiple pathways involved in MetS. Moreover, marine 
      proteins, peptides, omega-3 fatty acids, chitosan, fucoidans, and phlorotannins 
      improve glucose and lipid metabolism, enhance insulin sensitivity, and reduce fat 
      absorption, offering anti-diabetic and anti-hyperlipidemic benefits. Despite 
      their potential, challenges like dosage form, purity, encapsulation methods, and 
      stability hinder their broader use.",10.1080/10408398.2025.2513517 [doi],Crit Rev Food Sci Nutr. 2025 Jun 4:1-32. doi: 10.1080/10408398.2025.2513517.,40464117,"['Amanat, Muhammed', 'Chib, Shivani', 'Singh, Thakur Gurjeet', 'Singh, Randhir']","['Department of Pharmacology, Central University of Punjab, Ghudda, Bathinda, ', 'Department of Pharmacology, Central University of Punjab, Ghudda, Bathinda, ', 'Centre for Research Impact & Outcome, Chitkara College of Pharmacy, Chitkara ', 'Department of Pharmacology, Central University of Punjab, Ghudda, Bathinda, ']","['Journal Article', 'Review']","Amanat, Muhammed","Chib, Shivani","Singh, Thakur Gurjeet","Singh, Randhir",,,,,,,,,,,,,,,,,,,,,,,,,,,review,190,,10.1080/10408398.2025.2513517 ,10.1080/10408398.2025.2513517,10.1080/10408398.2025.2513517 ,PubMed
Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2021,"Hippocampus kuda protein hydrolysate improves male reproductive dysfunction in 
      diabetic rats.","The global prevalence of diabetes mellitus is rapidly increasing. This disease is 
      associated with many complications including male reproductive dysfunctions and 
      infertility. Seahorse ( Hippocampus kuda) is a marine teleost fish well known for 
      its beneficial effects on the reproductive system in traditional Chinese medicine 
      books. Recently, several studies have been shown that the enzymatic hydrolysate 
      of seahorse has multiple pharmacological activities. This study aimed to 
      investigate the seahorse peptide hydrolysate (SH) ameliorative effects on the 
      diabetic-induced male reproductive dysfunction in rat models. The in vivo studies 
      were carried out with three different doses of SH (4, 8, and 20 mg/kg) and the 
      diabetes condition was induced by administrating with streptozotocin (35 mg/kg) 
      and fed a 40% high-fat diet. Seahorse hydrolysate (20 mg/kg) inhibited lipid 
      peroxidation, increased antioxidant enzyme activity, and restored seminiferous 
      tubules morphology in testis. Moreover, it improved reproductive dysfunction by 
      increasing the level of testosterone, follicle-stimulating hormone, luteinizing 
      hormone, sperm count, and motility. According to these results, we suggested that 
      SH exhibited amelioration effects on the reproductive dysfunction.",S0753-3322(21)00542-4 [pii],Biomed Pharmacother. 2021 Aug;140:111760. doi: 10.1016/j.biopha.2021.111760. Epub ,34052566,"['Sudirman, Sabri', 'Su, Chieh-Yu', 'Tsou, David', 'Lee, Meng-Chou', 'Kong, Zwe-Ling']","['Fisheries Product Technology, Faculty of Agriculture, Universitas Sriwijaya, ', 'Department of Food Science; National Taiwan Ocean University, Keelung City 20224, ', 'Department of Food Science; National Taiwan Ocean University, Keelung City 20224, ', 'Department of Aquaculture, National Taiwan Ocean University, Keelung City 20224, ', 'Department of Food Science; National Taiwan Ocean University, Keelung City 20224, ']",['Journal Article'],"Sudirman, Sabri","Su, Chieh-Yu","Tsou, David","Lee, Meng-Chou","Kong, Zwe-Ling",,,,,,,,,,,,,,,,,,,,,,,,,,Chapter,171,S0753-3322(21)00542-4 [pii],,10.1016/j.biopha.2021.111760,10.1016/j.biopha.2021.111760,PubMed
Marine drugs,2024,"Mechanism of Takifugu bimaculatus Skin Peptides in Alleviating Hyperglycemia in 
      Rats with Type 2 Diabetic Mellitus Based on Microbiome and Metabolome Analyses.
","In this study, we aimed to explore the hypoglycemic effects of a hydrolysate on 
      Takifugu bimaculatus skin (TBSH). The effect of the dipeptidyl peptidase-IV 
      (DPP-IV) inhibitory activities from different TBSH fractions was investigated on 
      basic indexes, gut hormones, blood lipid indexes, viscera, and the gut microbiota 
      and its metabolites in rats with type 2 diabetes mellitus (T2DM). The results 
      showed that the <1 kDa peptide fraction from TBSH (TBP) exhibited a more potent 
      DPP-IV inhibitory effect (IC(50) = 0.45 ± 0.01 mg/mL). T2DM rats were induced 
      with streptozocin, followed by the administration of TBP. The 200 mg/kg TBP 
      mitigated weight loss, lowered fasting blood glucose levels, and increased 
      insulin secretion by 20.47%, 25.23%, and 34.55%, respectively, rectified 
      irregular hormonal fluctuations, lipid metabolism, and tissue injuries, and 
      effectively remedied gut microbiota imbalance. In conclusion, TBP exerts a 
      hypoglycemic effect in rats with T2DM. This study offers the potential to develop 
      nutritional supplements to treat T2DM and further promote the high-value 
      utilization of processing byproducts from T. bimaculatus. It will provide 
      information for developing nutritional supplements to treat T2DM and further 
      promote the high-value utilization of processing byproducts from T. bimaculatus.",10.3390/md22080377 [doi],Mar Drugs. 2024 Aug 22;22(8):377. doi: 10.3390/md22080377.,39195493,"['Xu, Min', 'Chen, Bei', 'Qiao, Kun', 'Liu, Shuji', 'Su, Yongchang', 'Cai, Shuilin', 'Liu, Zhiyu', 'Li, Lijun', 'Li, Qingbiao']","['College of Ocean Food and Bioengineering, Jimei University, Xiamen 361021, China.', 'Key Laboratory of Cultivation and High-Value Utilization of Marine Organisms in ', 'Key Laboratory of Cultivation and High-Value Utilization of Marine Organisms in ', 'Key Laboratory of Cultivation and High-Value Utilization of Marine Organisms in ', 'Key Laboratory of Cultivation and High-Value Utilization of Marine Organisms in ', 'Key Laboratory of Cultivation and High-Value Utilization of Marine Organisms in ', 'Key Laboratory of Cultivation and High-Value Utilization of Marine Organisms in ', 'Key Laboratory of Cultivation and High-Value Utilization of Marine Organisms in ', 'College of Ocean Food and Bioengineering, Jimei University, Xiamen 361021, China.', 'College of Ocean Food and Bioengineering, Jimei University, Xiamen 361021, China.']",['Journal Article'],"Xu, Min","Chen, Bei","Qiao, Kun","Liu, Shuji","Su, Yongchang","Cai, Shuilin","Liu, Zhiyu","Li, Lijun","Li, Qingbiao",,,,,,,,,,,,,,,,,,,,,,article,189,,10.3390/md22080377 ,10.3390/md22080377,10.3390/md22080377 ,PubMed
Diabetologia,2015,"Polyphenol-rich diets improve glucose metabolism in people at high 
      cardiometabolic risk: a controlled randomised intervention trial.","AIM/HYPOTHESIS: Dietary polyphenols and long chain n-3 polyunsaturated fatty 
      acids (LCn3) are associated with lower cardiovascular risk. This may relate to 
      their influence on glucose metabolism and diabetes risk. We evaluated the effects 
      of diets naturally rich in polyphenols and/or LCn3 of marine origin on glucose 
      metabolism in people at high cardiometabolic risk. METHODS: According to a 2 × 2 
      factorial design, individuals with high waist circumference and at least one more 
      component of the metabolic syndrome were recruited at the obesity outpatient 
      clinic. Eighty-six participants were randomly assigned by MINIM software to an 
      isoenergetic diet: (1) control, low in LCn3 and polyphenol (analysed n = 20); (2) 
      rich in LCn3 (n = 19); (3) rich in polyphenols (n = 19); or (4) rich in LCn3 and 
      polyphenols (n = 19). The assigned diets were known for the participants and 
      blinded for people doing measurements. Before and after the 8 week intervention, 
      participants underwent a 3 h OGTT and a test meal with a similar composition as 
      the assigned diet for the evaluation of plasma glucose, insulin and glucagon-like 
      peptide 1 (GLP-1) concentrations, and indices of insulin sensitivity and beta 
      cell function. RESULTS: During OGTT, polyphenols significantly reduced plasma 
      glucose total AUC (p = 0.038) and increased early insulin secretion (p = 0.048), 
      while LCn3 significantly reduced beta cell function (p = 0.031) (two-factor 
      ANOVA). Moreover, polyphenols improved post-challenge oral glucose insulin 
      sensitivity (OGIS; p = 0.05 vs control diet by post hoc ANOVA). At test meal, 
      LCn3 significantly reduced GLP-1 total postprandial AUC (p < 0.001; two-factor 
      ANOVA). CONCLUSION/INTERPRETATION: Diets naturally rich in polyphenols reduce 
      blood glucose response, likely by increasing early insulin secretion and insulin 
      sensitivity. These effects may favourably influence diabetes and cardiovascular 
      risk. The implications of the decrease in insulin secretion and postprandial 
      GLP-1 observed with diets rich in marine LCn3 need further clarification. TRIAL 
      REGISTRATION: ClinicalTrials.gov NCT01154478. FUNDING: The trial was funded by 
      European Community's Seventh Framework Programme FP7/2009-2012 under grant 
      agreement FP7-KBBE-222639, Etherpaths Project and 'Ministero Istruzione 
      Università e Ricerca' PRIN 2010-2011 - 2010JCWWKM.",10.1007/s00125-015-3592-x [doi],Diabetologia. 2015 Jul;58(7):1551-60. doi: 10.1007/s00125-015-3592-x. Epub 2015 ,25906754,"['Bozzetto, Lutgarda', 'Annuzzi, Giovanni', 'Pacini, Giovanni', 'Costabile, Giuseppina', 'Vetrani, Claudia', 'Vitale, Marilena', 'Griffo, Ettore', 'Giacco, Angela', 'De Natale, Claudia', 'Cocozza, Sara', 'Della Pepa, Giuseppe', 'Tura, Andrea', 'Riccardi, Gabriele', 'Rivellese, Angela A']","['Department of Clinical Medicine and Surgery, Federico II University, Via Pansini, ']","['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]","Bozzetto, Lutgarda","Annuzzi, Giovanni","Pacini, Giovanni","Costabile, Giuseppina","Vetrani, Claudia","Vitale, Marilena","Griffo, Ettore","Giacco, Angela","De Natale, Claudia","Cocozza, Sara","Della Pepa, Giuseppe","Tura, Andrea","Riccardi, Gabriele","Rivellese, Angela A",,,,,,,,,,,,,,,,,article,340,,10.1007/s00125-015-3592-x ,10.1007/s00125-015-3592-x,10.1007/s00125-015-3592-x ,PubMed
Molecular nutrition & food research,2022,"Green Alga Enteromorpha prolifera Oligosaccharide Ameliorates Ageing and 
      Hyperglycemia through Gut-Brain Axis in Age-Matched Diabetic Mice.","SCOPE: To investigate the anti-ageing and anti-diabetic effects of Enteromorpha 
      prolifera oligosaccharide (EPO) in age-matched streptozocin-induced diabetic 
      mice. METHODS AND RESULTS: LC-MS metabolomics and 16S rRNA sequencing is used to 
      identify the brain metabolites and gut microbiota, respectively. EPO could 
      significantly improve glucose metabolism and activity of total superoxide 
      dismutase in serum. It also could regulate the tricarboxylic acid cycle, 
      arginine, and inosine-related metabolic pathways in the brain of aged diabetic 
      mice. Inosine is found to enhance the relative expressions of daf-2, daf-16, and 
      skn-1 in insulin-resistant Caenorhabditis elegans. Additionally, EPO could alter 
      the composition and diversity of gut microbiota in mice. It could upregulate the 
      Signal Transducer and Activator of Transcription 3/Forkhead Box O1 (FOXO1)/B cell 
      lymphoma 6 (Bcl-6) pathways in the brain and the c-Jun N-terminal Kinase 
      (JNK)/FOXO1/Bcl-6 signaling axis in the intestine to regulate glucose metabolite 
      status and ageing in mice. EPO could also improve the levels of glucagon-like 
      peptide type 1 (GLP1) expression in the gut, thereby inducing high expression of 
      GLP1 receptor in the brain to control glucose metabolites through the brain-gut 
      axis. Enterococcus is negatively correlated with AMP in the brain and could be a 
      potential hallmark species in age-related diabetes. CONCLUSIONS: These results 
      suggest that EPO could be a potential novel natural drug for the treatment of 
      diabetes in the elderly.",10.1002/mnfr.202100564 [doi],Mol Nutr Food Res. 2022 Feb;66(4):e2100564. doi: 10.1002/mnfr.202100564. Epub ,34894199,"['Ouyang, Yuezhen', 'Liu, Dan', 'Zhang, Lizhu', 'Li, Xiaoqing', 'Chen, Xinhua', 'Zhao, Chao']","['Engineering Research Centre of Fujian-Taiwan Special Marine Food Processing and ', 'College of Food Science, Fujian Agriculture and Forestry University, Fuzhou, ', 'Engineering Research Centre of Fujian-Taiwan Special Marine Food Processing and ', 'College of Food Science, Fujian Agriculture and Forestry University, Fuzhou, ', 'Engineering Research Centre of Fujian-Taiwan Special Marine Food Processing and ', 'College of Food Science, Fujian Agriculture and Forestry University, Fuzhou, ', 'School of Food Science and Engineering, South China University of Technology, ', 'Key Laboratory of Marine Biotechnology of Fujian Province, Institute of ', 'Engineering Research Centre of Fujian-Taiwan Special Marine Food Processing and ', 'College of Food Science, Fujian Agriculture and Forestry University, Fuzhou, ', 'Key Laboratory of Marine Biotechnology of Fujian Province, Institute of ']","['Journal Article', ""Research Support, Non-U.S. Gov't""]","Ouyang, Yuezhen","Liu, Dan","Zhang, Lizhu","Li, Xiaoqing","Chen, Xinhua","Zhao, Chao",,,,,,,,,,,,,,,,,,,,,,,,,article,218,,10.1002/mnfr.202100564 ,10.1002/mnfr.202100564,10.1002/mnfr.202100564 ,PubMed
